Date: 03/05/2015	 Scientist Search 1.7
Data Retrieval Mode: medline, reflects file type source of PubMed data in following analysis.
Publication Type Selection: journal article, Affiliation Restriction: none, reflects search constraints of PubMed data in following analysis.
Keyword Mode Selection: none

Year: 1895	Pubs: 1578	IDs: 1578	CSV Author Pubs: 0	Medline Author Pubs: 986
		PM Max: 1	PM Num: 1	CSV Max: 0	CSV Num: 0	Medline Max: 4	Medline Num: 4
		CSV IDs: 0	Medline IDs: 1578

Publication PubMed Count:<1578>
CSV Publications with Authors:<0>
Medline Publications with Authors:<986>
Retracted Publications:<0>
Retractions Made:<0>
CSV Unique authors:<0>
Medline Unique authors:<743>
Medline Unique short authors:<743>
Medline Unique short first authors:<696>
CSV Duplicate authors:<0>
Medline Duplicate authors:<163>
Medline Duplicate short authors:<163>
CSV Duplicate author publications:<0>
Medline Duplicate author publications:<477>
CSV Authors per publication:<0>
CSV APP max:<0>
CSV APP min:<0>
CSV APP var:<0>
Medline Authors per publication:<1.07200811359026>
Medline APP max:<12>
Medline APP min:<1>
Medline APP var:<0.204753979650193>
Unique Journal Titles:<11>
Unique Short Journal Titles:<11>
Medline Publications per unique author:	2.12382234185733
Medline Duplicate publications per duplicate author:	2.92638036809816
Medline Duplicate authors / Unique authors	0.219380888290713


*****JOURNAL PUB FREQUENCIES*****
683	british medical journal
448	science (new york, ny)
132	annals of surgery
57	journal of anatomy and physiology
52	weekly abstract of sanitary reports united states marine hospital service
50	public health papers and reports
50	transactions of the american climatological association for the year  american
43	the journal of physiology
35	transactions of the american ophthalmological society
14	journal massachusetts association of boards of health
14	medico-chirurgical transactions

*****KEYWORDS LIST*****

*****KEYWORDS FREQUENCIES*****
<>

*****CSV PUBMED AUTHOR FREQUENCIES*****

*****CSV PUBMED PUB FREQUENCIES*****
<>

*****MEDLINE PUBMED AUTHOR FREQUENCIES*****
26	davis, w m
24	brinton, d g
9	halsted, g b
7	cattell, j m
7	merriam, c h
7	stockman, r
6	mason, o t
6	hallock, w
6	fawcett, e
5	sharp, g
5	goode, g b
5	conte, j l
5	warbasse, j p
4	kemp, j f
4	schafer, e a
4	allen, h
4	c, j m
4	blandford, g f
4	pickering, j w
4	marcet, w
4	hart, e
4	harley, v
4	white, j w
4	coues, e
3	roberts, j b
3	o, h f
3	c, j t
3	smith, j g
3	sorensen, w
3	solly, s e
3	m, t c
3	macmillan, c
3	roberts, f t
3	halsted, b d
3	holden, e s
3	brooks, w k
3	langley, j n
3	higgins, h
3	hutchinson, j
3	bailey, l h
3	t, r h
3	smith, e f
3	trelease, w
3	ransom, w b
3	rolleston, h d
3	field, h h
3	lazarus-barlow, w s
3	billings, j s
3	curtin, r g
3	osborn, h f
3	haldane, j
3	ringer, s
3	hill, l
3	de schweinitz, g e
3	probst, c o
3	baldwin, j m
3	holmes, t
3	shepherd, f j
3	harrington, m w
3	griffiths, j
3	struthers, j
2	hinsdale, g
2	johnson, w b
2	collinge, w e
2	semon, f
2	rentoul, r r
2	barker, a e
2	munsterberg, h
2	barr, t
2	fenwick, w s
2	mcclintock, e
2	ryder, j a
2	hewlett, r t
2	risley, s d
2	whipple, g c
2	howe, j l
2	noyes, h d
2	mulhall, j c
2	leathes, j b
2	bryce, p h
2	morton, c a
2	leech, d j
2	robinson, b
2	brockbank, e m
2	snow, f h
2	cousins, j w
2	bowditch, h p
2	gage, s h
2	sambon, l
2	newsholme, a
2	putnam, f w
2	souchon, e
2	harrison, r
2	deanesly, e
2	starling, e h
2	robson, m
2	palmer, t s
2	salmon, d e
2	fenwick, e h
2	stiles, c w
2	buchanan, g
2	elliot, j w
2	menzies, j a
2	broadbent, w
2	abbe, c
2	fowler, g r
2	james, j f
2	mills, w
2	stoker, w t
2	anderson, h k
2	paul, f t
2	boas, f
2	dennis, f s
2	degarmo, w b
2	briddon, c k
2	harris, d f
2	scudder, s h
2	ward, l f
2	clarke, j m
2	walsham, w j
2	flemer, j a
2	austen, p t
2	weber, l
2	de forest, h p
2	barnes, c r
2	morison, r
2	mendenhall, t c
2	haig, a
2	tidey, s
2	gould, g m
2	monjaras, j e
2	reid, e w
2	eliot, e
2	noriega, t
2	schuchert, c
2	ruedi, c
2	swain, j
2	field, j b
2	herrick, f h
2	minot, c s
2	heyl, a g
2	halliburton, w d
2	powell, j w
2	britton, n l
2	conn, g p
2	heath, c
2	milligan, w
2	wilder, b g
2	whitla, w
2	monro, t k
2	tansley, j o
2	keith, a
2	mcgee, w j
2	rowland, s d
2	locke, f s
2	lippincott, j a
2	champneys, f h
2	baker, f c
2	glasgow, w c
2	lane, w a
2	daland, j
2	humphry, g
2	oliver, g
1	reed, b
1	fiske, t s
1	ramsay, a
1	treves, f
1	folie, f
1	smith, n
1	taylor, j
1	spanton, w d
1	porter, c
1	smart, c
1	bailey, w
1	church, w s
1	barling, g
1	williamson, r t
1	jackson, m
1	guilbert, e a
1	jordan, d s
1	irwell, l
1	althaus, j
1	brunton, t l
1	raw, n
1	john, s b
1	homans, j
1	kinneir, f w
1	setchell, w a
1	gilbert, g k
1	playfair, w s
1	stokvis, b t
1	ferguson, a h
1	cripps, h
1	trowbridge, j
1	hamilton, w m
1	haynes, h w
1	sternberg, g m
1	gubb, a s
1	hering, r
1	thorne, w b
1	symmers, w s
1	robertson, c
1	kimura, s
1	sergi, g
1	venable, f p
1	power, d
1	owen, d
1	moore, w l
1	peale, a c
1	hale, h
1	hepburn, d
1	keeler, j e
1	jayne, w a
1	russell, h l
1	valle, m c
1	hoar, c e
1	sedgwick, w t
1	sansom, a e
1	todd, h a
1	james, a
1	watson, w s
1	quain, r
1	moore, h b
1	bigelow, f h
1	malcolm, j d
1	walters, f r
1	haffkine, w m
1	hankin, e h
1	hill, h b
1	bartlett, w
1	josephson, a g
1	woolsey, g
1	stejneger, l
1	turner, w a
1	mackenzie, m m
1	bryce, t h
1	hunt, r
1	jones, h l
1	turner, h w
1	councilman, w t
1	parker, e m
1	roberts, w
1	royden, w
1	bond, c j
1	cox, e m
1	cantwell, f v
1	harkness, w
1	knight, f i
1	chaney, l w jr
1	west, s
1	lister, j
1	ritchie, a b
1	farlow, w g
1	rayleigh
1	lindsay, t
1	gould, b a
1	carhart, h s
1	fernow, b e
1	musser, j h
1	hall, g s
1	shaler, n s
1	tubby, a h
1	vernon, h m
1	surveyor, n
1	green, j
1	miles, m
1	cope, e d
1	thurston, r h
1	harnly, h j
1	mccosh, a j
1	miles, w e
1	hance, i h
1	railton, t c
1	williams, j t
1	ernst, h c
1	bailey, j b
1	brodie, t g
1	abbott, s w
1	williams, c h
1	lee, f s
1	eastman, b l
1	hough, t
1	wilson, f m
1	keen, w w
1	denton, e b
1	taylor, h l
1	jackson, e
1	bayliss, w m
1	murphy, j
1	williams, w
1	hough, w
1	r, j k
1	judd, c h
1	wheeler, e s
1	gowers, w r
1	booth, j m
1	bulloch, w
1	cogill, h
1	pupin, m i
1	dalby, w b
1	ochsner, a j
1	butler, g r
1	ogden, h n
1	j, h
1	saylor, f g
1	kummel, h b
1	bull, c s
1	makins, g h
1	dunn, h p
1	denton, b
1	teale, t p
1	lee, r
1	colman, w s
1	arthur, j c
1	macnamara, n c
1	beal, w j
1	o
1	smith, e a
1	morris, h c
1	delatour, h b
1	freiberg, a h
1	dawbarn, r h
1	kempe, c m
1	packard, a s
1	pinkerton, c
1	scripture, e w
1	farnham, e
1	foster, m
1	smith, g e
1	arnison, w c
1	kipp, c j
1	carlier, e w
1	babcock, r h
1	molenbroek, p
1	mcguire, h
1	ladd, g t
1	wight, j s
1	rand, h w
1	gray, a
1	playter, e
1	bauer, l a
1	park, r
1	mayo, c h
1	davis, g g
1	titchener, e b
1	howe, l
1	macloskie, g
1	stanley, h m
1	marcy, h o
1	thomson, c
1	brannan, j w
1	thomas, w t
1	smith, a h
1	cockerell, t d
1	stewart, j p
1	dalby, w
1	peters, a
1	tiffany, l m
1	davis, b b
1	robinson, h b
1	liceaga, e
1	fraser, t r
1	hill, r t
1	heatherley, f
1	clarke, w b
1	finsen, n r
1	true, f w
1	fishburn, w h
1	bangs, l b
1	fox, w y
1	cassal, c e
1	bryant, t h
1	warder, r b
1	welker, p a
1	bolton, h c
1	dalton, h c
1	hovey, e o
1	woodward, s b
1	robson, a w
1	hazen, h a
1	jamieson, w a
1	darlington, t
1	pye-smith, p h
1	stoker, g
