Date: 03/05/2015	 Scientist Search 1.7
Data Retrieval Mode: medline, reflects file type source of PubMed data in following analysis.
Publication Type Selection: journal article, Affiliation Restriction: none, reflects search constraints of PubMed data in following analysis.
Keyword Mode Selection: none

Year: 1912	Pubs: 3364	IDs: 3364	CSV Author Pubs: 0	Medline Author Pubs: 2658
		PM Max: 1	PM Num: 1	CSV Max: 0	CSV Num: 0	Medline Max: 7	Medline Num: 7
		CSV IDs: 0	Medline IDs: 3364

Publication PubMed Count:<3364>
CSV Publications with Authors:<0>
Medline Publications with Authors:<2658>
Retracted Publications:<0>
Retractions Made:<0>
CSV Unique authors:<0>
Medline Unique authors:<1913>
Medline Unique short authors:<1913>
Medline Unique short first authors:<1712>
CSV Duplicate authors:<0>
Medline Duplicate authors:<518>
Medline Duplicate short authors:<518>
CSV Duplicate author publications:<0>
Medline Duplicate author publications:<1584>
CSV Authors per publication:<0>
CSV APP max:<0>
CSV APP min:<0>
CSV APP var:<0>
Medline Authors per publication:<1.12076749435666>
Medline APP max:<17>
Medline APP min:<1>
Medline APP var:<0.283759832321839>
Unique Journal Titles:<19>
Unique Short Journal Titles:<19>
Medline Publications per unique author:	1.75849451123889
Medline Duplicate publications per duplicate author:	3.05791505791506
Medline Duplicate authors / Unique authors	0.270778881338212


*****JOURNAL PUB FREQUENCIES*****
977	proceedings of the royal society of medicine
516	british medical journal
514	science (new york, ny)
345	california state journal of medicine
172	american journal of public health (new york, ny : 1912)
164	annals of surgery
117	the journal of experimental medicine
112	canadian medical association journal
75	journal of the national medical association
70	the journal of physiology
52	public health reports
45	the journal of hygiene
45	the journal of medical research
39	the biochemical journal
31	transactions of the american climatological association for the year  american
28	journal of anatomy and physiology
24	transactions of the american ophthalmological society
20	bulletin of the medical library association
18	the eugenics review

*****KEYWORDS LIST*****

*****KEYWORDS FREQUENCIES*****
<>

*****CSV PUBMED AUTHOR FREQUENCIES*****

*****CSV PUBMED PUB FREQUENCIES*****
<>

*****MEDLINE PUBMED AUTHOR FREQUENCIES*****
20	sequeira, j h
16	davis, h j
15	dore, s e
15	tilley, h
14	weber, f p
14	little, e g
13	morris, m
13	kelson, w h
12	noguchi, h
12	mckenzie, d
12	bunch, j l
11	milligan, w
10	macleod, j m
10	hill, w
9	wylie, a
8	kelly, a b
8	peters, e a
8	wilkinson, g
8	pearce, r m
7	lewis, t
7	bessey, c e
7	macnaughton-jones, h
7	rolleston, h d
7	bell, w b
7	williams, a w
7	grant, j d
6	mummery, p l
6	stuart-low, w
6	spencer, w g
6	thomson, s
6	hope, c w
6	watson-williams, p
6	sutherland, g a
6	carrel, a
6	hett, g s
6	langmead, f
6	dailey, u g
6	keith, a
6	maccurdy, g g
5	jewesbury, r c
5	moore, b
5	white, c
5	harris, d f
5	shattock, s g
5	russell, a w
5	tombo, r jr
5	whitfield, a
5	mcdonagh, j e
5	stokes, w r
5	power, d
5	trotter, w
5	briggs, h
5	rowland, s
5	fox, w
5	galloway, j
5	pernet, g
5	harris, w
5	horne, w j
5	lake, r
5	dean, h r
5	buist, h m
5	fitzwilliams, d c
5	stiles, c w
5	adamson, h g
4	ingebrigtsen, r
4	miller, g a
4	badgerow, g
4	harris, j a
4	davis, h
4	parsons, l
4	meachen, g n
4	anderson, j f
4	mccardie, w j
4	gray, h t
4	bryce, p h
4	alderson, h e
4	turner, p
4	addison, o l
4	darling, s t
4	horsley, v
4	loeb, j
4	tod, h
4	todd, j l
4	french, h
4	cautley, e
4	penfold, w j
4	wolbach, s b
4	lockyer, c
4	barris, j
4	griffith, w s
4	whipham, t r
4	paton, d n
4	boothby, w m
4	karsner, h t
4	biggs, g n
4	jones, r
4	shull, g h
4	trevor, r s
4	ransom, f
4	brunton, l
4	hutchison, r
4	paterson, h j
4	evans, c l
4	shaw, h b
4	austin, j h
4	roberts, c h
4	taylor, j
4	howarth, w
4	hartridge, h
4	yearsley, p m
4	harmer, d
4	glendining, b
4	berry, d
4	miller, r
4	pease, h d
4	fearnsides, e g
4	mccrudden, f h
4	poynton, f j
3	symonds, c
3	tucker, g e
3	clark, g a
3	row, r
3	watson, c g
3	parsons, c l
3	eliot, e
3	haldane, j s
3	power, h d
3	parsons, j i
3	mackenzie, h
3	batten, f e
3	yorke, w
3	saunders, p w
3	pearl, r
3	jordan, j o
3	thomas, j l
3	chick, h
3	harper, r m
3	williamson, h
3	lack, h l
3	roth, p b
3	osterhout, w j
3	jones, p m
3	montgomery, d w
3	riley, w a
3	spillman, w j
3	makins, g h
3	laidlaw, p p
3	white, h
3	muecke, f f
3	barker, a e
3	farrant, r
3	brooks, r s
3	park, e a
3	chapin, c v
3	ryfkogel, h a
3	rood, f
3	starling, e h
3	lediard, h a
3	hachtel, f w
3	cockerell, t d
3	nicoll, w
3	gorham, f p
3	patterson, n
3	milne, l s
3	forsyth, d
3	buzzard, e f
3	douglas, c g
3	davis, e d
3	edmunds, w
3	rolleston, j d
3	barcroft, j
3	dochez, a r
3	duckworth, w l
3	mayo, w j
3	everidge, j
3	scott, s
3	gray, a m
3	colyer, j f
3	cobb, f
3	may, o
3	turner, w
3	hertz, a f
3	cameron, h c
3	jenkins, g j
3	pitts, a t
3	watkins, j t
3	levin, i
3	maxwell, r d
3	mccann, f j
3	whittaker, h a
3	ewart, w
3	rogers, l
3	routh, a
3	kinyoun, j j
3	hering, r
3	sawyer, w a
3	taylor, j m
3	battle, w h
3	castle, w e
3	jobling, j w
3	robertson, t b
3	gardner, h b
3	donelan, j
3	bolduan, c f
3	oliver, j
3	bryan, c w
2	cooper, e a
2	fox, t c
2	murray, g
2	roy, j n
2	lewis, f c
2	manwaring, w h
2	reid, a d
2	dunhill, t p
2	mackenzie, j r
2	pilcher, l s
2	smith, h m
2	orbison, t j
2	funk, c
2	dudgeon, l s
2	barton, g a
2	howard, l o
2	dudfield, r
2	boyle, e m
2	kite, g l
2	de verteuil, f l
2	peters, h l
2	mackenzie, j
2	stevens, f l
2	hicks, j a
2	bruce, h a
2	ledingham, j c
2	mott, f w
2	bowditch, v y
2	parkinson, j p
2	moore, g t
2	taylor, w j
2	spittel, r l
2	krotoszyner, m
2	nutting, c c
2	clarke, j m
2	dall, w h
2	grant, d
2	mcleod, j m
2	morgan, t h
2	stephenson, s
2	corner, e m
2	weston, p g
2	de vries, h
2	buxton, d w
2	wollstein, m
2	wilbur, r l
2	thompson, t
2	firth, a c
2	mcgee, w j
2	riviere, c
2	horn, h
2	cannon, w a
2	low, v w
2	forsyth, j a
2	lamar, r v
2	powell, h f
2	hill, a v
2	fisher, w j
2	minot, c s
2	halsted, w s
2	fahr, g
2	osborn, h f
2	gerster, a g
2	briscoe, j f
2	leedham-green, c
2	heath, p m
2	coleman, f
2	hill, l
2	rowlands, r p
2	horsford, c
2	ward, g r
2	tate, w
2	cope, v z
2	gordon, w
2	edridge-green, f w
2	morris, h
2	pringle, j j
2	malony, j b
2	hopewell-smith, a
2	murphy, j b
2	jordan, a c
2	jones, h l
2	kreutzmann, h j
2	rovsing, t
2	dorner, g
2	guiteras, j
2	cook, o f
2	eaves, j
2	fales, h l
2	twort, f w
2	ruttan, r f
2	whipple, g h
2	howell, c m
2	white, d
2	schroeder, m c
2	simpson, r m
2	puckner, w a
2	sewell, d l
2	dixon, r l
2	buxton, d
2	edie, e s
2	tierney, s jr
2	west, c e
2	stoner, h w
2	homans, j
2	dauber, j h
2	quinan, c
2	harmer, w d
2	tooke, f
2	drummond, h
2	verzar, f
2	bartlett, w
2	arkell, t r
2	allen, f h
2	fothergill, w e
2	stewart, g n
2	johnston-lavis, h j
2	andrews, h r
2	morton, r
2	hill, h w
2	colwell, h a
2	meltzer, s j
2	lillie, r s
2	coffey, w b
2	tebbutt, h
2	smith, r p
2	epstein, a a
2	knowlton, f p
2	richardson, m w
2	fraser, j
2	strouse, s
2	gerster, j c
2	greenwood, m
2	davenport, c b
2	primrose, a
2	clark, a j
2	reid, d g
2	von anrep, g
2	guthrie, l
2	o'gara, p j
2	brown, w h
2	turner, j
2	mellanby, j
2	rous, p
2	mcwilliams, c a
2	purdue, a h
2	carson, h w
2	western, g t
2	mayo, c h
2	crowe, h w
2	cohn, a e
2	cleland, h f
2	whitehouse, b
2	wadsworth, a b
2	martin, p s
2	culver, g d
2	rettger, l f
2	liceaga, e
2	sequeira
2	gruening, e
2	hovey, e o
