Date: 03/05/2015	 Scientist Search 1.7
Data Retrieval Mode: medline, reflects file type source of PubMed data in following analysis.
Publication Type Selection: journal article, Affiliation Restriction: none, reflects search constraints of PubMed data in following analysis.
Keyword Mode Selection: none

Year: 1961	Pubs: 119979	IDs: 119979	CSV Author Pubs: 0	Medline Author Pubs: 118425
		PM Max: 2	PM Num: 2	CSV Max: 0	CSV Num: 0	Medline Max: 240	Medline Num: 240
		CSV IDs: 0	Medline IDs: 119979

Publication PubMed Count:<119979>
CSV Publications with Authors:<0>
Medline Publications with Authors:<118425>
Retracted Publications:<0>
Retractions Made:<0>
CSV Unique authors:<0>
Medline Unique authors:<121960>
Medline Unique short authors:<121932>
Medline Unique short first authors:<74247>
CSV Duplicate authors:<0>
Medline Duplicate authors:<42888>
Medline Duplicate short authors:<42894>
CSV Duplicate author publications:<0>
Medline Duplicate author publications:<140323>
CSV Authors per publication:<0>
CSV APP max:<0>
CSV APP min:<0>
CSV APP var:<0>
Medline Authors per publication:<1.85260713531771>
Medline APP max:<19>
Medline APP min:<1>
Medline APP var:<1.31229265397595>
Unique Journal Titles:<2434>
Unique Short Journal Titles:<2440>
Medline Publications per unique author:	0.983756969498196
Medline Duplicate publications per duplicate author:	3.27184760305913
Medline Duplicate authors / Unique authors	0.351656280747786


*****JOURNAL PUB FREQUENCIES*****
1608	nature
999	science (new york, ny)
845	british medical journal
815	biochimica et biophysica acta
810	canadian medical association journal
765	proceedings of the society for experimental biology and medicine society for
744	comptes rendus des seances de la societe de biologie et de ses filiales
666	jama
607	lancet
601	bollettino della societa italiana di biologia sperimentale
600	minerva medica
575	the journal of biological chemistry
549	la presse medicale
533	khirurgiia
530	die medizinische welt
522	prensa medica argentina
467	the new england journal of medicine
461	the american journal of physiology
454	munchener medizinische wochenschrift (1950)
446	the biochemical journal
410	das deutsche gesundheitswesen
399	zhurnal mikrobiologii, epidemiologii, i immunobiologii
397	polski tygodnik lekarski (warsaw, poland : 1960)
396	comptes rendus hebdomadaires des seances de l'academie des sciences
388	el dia medico
385	nederlands tijdschrift voor geneeskunde
381	orvosi hetilap
376	la semana medica
366	biulleten' eksperimental'noi biologii i meditsiny
363	zentralblatt fur chirurgie
352	deutsche medizinische wochenschrift (1946)
352	proceedings of the royal society of medicine
341	sovetskaia meditsina
330	american journal of obstetrics and gynecology
326	nordisk medicin
326	journal of bacteriology
326	the journal of urology
324	concours medical
319	medizinische klinik
308	new york state journal of medicine
307	the medical journal of australia
305	klinische wochenschrift
304	archives of biochemistry and biophysics
289	la revue du praticien
289	proceedings of the national academy of sciences of the united states of america
284	vestnik khirurgii imeni i i grekova
282	annals of surgery
281	casopis lekaru ceskych
279	schweizerische medizinische wochenschrift
277	experientia
274	svenska lakartidningen
273	american journal of ophthalmology
268	experimental cell research
266	zeitschrift fur arztliche fortbildung
265	ugeskrift for laeger
265	archives of dermatology
264	voenno-meditsinskii zhurnal
259	gigiena i sanitariia
256	klinicheskaia meditsina
253	the american review of respiratory disease
251	american journal of surgery
250	zhurnal nevropatologii i psikhiatrii imeni ss korsakova (moscow, russia : 1952)
247	fiziologicheskii zhurnal sssr imeni i m sechenova
246	praxis
244	bulletin de la societe francaise de dermatologie et de syphiligraphie
244	ceska gynekologie / ceska lekarska spolecnost j ev purkyne
237	zentralblatt fur gynakologie
237	wiener klinische wochenschrift
237	wiener medizinische wochenschrift (1946)
234	srpski arhiv za celokupno lekarstvo
233	archives of surgery (chicago, ill : 1960)
233	journal of applied physiology
231	endocrinology
229	surgical forum
228	langenbecks archiv fur klinische chirurgie  vereinigt mit deutsche zeitschrift
225	the journal of clinical investigation
224	bulletin de la federation des societes de gynecologie et dobstetrique de langue
224	surgery
223	la semaine des hopitaux : organe fonde par l'association d'enseignement medical
222	vie medicale (paris, france : 1920)
222	the american journal of roentgenology, radium therapy, and nuclear medicine
221	biochemical and biophysical research communications
221	the practitioner
221	cancer research
220	american journal of public health and the nation's health
219	pathologie-biologie
219	the american journal of psychiatry
217	california medicine
217	arzneimittel-forschung
216	zeitschrift fur die gesamte innere medizin und ihre grenzgebiete
215	bericht uber die zusammenkunft deutsche ophthalmologische gesellschaft
213	revista medica de chile
212	the american journal of cardiology
211	voprosy okhrany materinstva i detstva
209	antibiotiki
209	terapevticheskii arkhiv
209	polski przeglad chirurgiczny
209	the journal of physiology
209	virology
208	journal of pharmaceutical sciences
207	journal of abnormal and social psychology
207	surgery, gynecology & obstetrics
206	journal de physiologie
205	pediatrics
205	south african medical journal = suid-afrikaanse tydskrif vir geneeskunde
204	obstetrics and gynecology
204	minerva pediatrica
204	archives internationales de pharmacodynamie et de therapie
202	radiology
201	revista clinica espanola
200	tidsskrift for den norske laegeforening : tidsskrift for praktisk medicin, ny
200	southern medical journal
199	archives of ophthalmology
197	annals of internal medicine
196	the journal of pharmacology and experimental therapeutics
196	fortschritte auf dem gebiete der rontgenstrahlen und der nuklearmedizin
196	the journal of biophysical and biochemical cytology
194	circulation
194	american heart journal
193	annals of the new york academy of sciences
191	the journal of laboratory and clinical medicine
190	voprosy onkologii
189	la riforma medica
188	the journal of pediatrics
187	pediatriia
187	strahlentherapie
187	archives des maladies de l'appareil digestif et des maladies de la nutrition
185	minerva ginecologica
184	bulletin of the world health organization
184	journal of the indian medical association
181	canadian journal of biochemistry and physiology
180	hospitals
179	minerva chirurgica
179	gazette medicale de france
178	zhurnal vysshei nervnoi deiatelnosti imeni i p pavlova
177	diseases of the chest
175	the journal of the international college of surgeons
175	journal of biochemistry
174	archives of internal medicine
174	acta endocrinologica
173	journal of the american veterinary medical association
173	medicina interna
172	public health reports
170	medical times
170	annales de l'institut pasteur
170	neurology
169	maroc medical
166	biokhimiia (moscow, russia)
164	diseases of the nervous system
163	problemy tuberkuleza
163	journal of immunology (baltimore, md : 1950)
161	ortopediia travmatologiia i protezirovanie
160	ceskoslovenska pediatrie
159	problemy gematologii i perelivaniia krovi
159	archives of otolaryngology (chicago, ill : 1960)
158	the journal of thoracic and cardiovascular surgery
158	memoires academie de chirurgie (france)
157	the american journal of nursing
157	hippokrates
156	archives of environmental health
156	american journal of veterinary research
155	suvremenna meditsina
155	the american journal of the medical sciences
155	journal of experimental psychology
154	klinische monatsblatter fur augenheilkunde und fur augenarztliche fortbildung
154	the american journal of medicine
153	journal de radiologie, d'electrologie, et de medecine nucleaire
153	akusherstvo i ginekologiia
153	arkhiv patologii
152	postgraduate medicine
152	the canadian veterinary journal la revue veterinaire canadienne
152	hospital (rio de janeiro, brazil)
151	journal de medecine de bordeaux et du sud-ouest
150	oral surgery, oral medicine, and oral pathology
149	arkhiv anatomii, gistologii i embriologii
149	the journal of clinical endocrinology and metabolism
149	the journal of experimental medicine
148	the journal of parasitology
148	hospital progress
147	journal of the national cancer institute
146	medical radiology
146	plant physiology
146	journal of the national medical association
146	circulation research
145	gastroenterology
145	acta medica scandinavica
145	deutsches medizinisches journal
145	la semaine des hopitaux: therapeutique
145	genetics
144	federation proceedings
143	minerva ortopedica
143	vestnik rentgenologii i radiologii
143	duodecim; laaketieteellinen aikakauskirja
142	acta chirurgica scandinavica
141	modern hospital
141	nursing times
140	farmakologiia i toksikologiia
140	journal of medical education
139	nihon saikingaku zasshi japanese journal of bacteriology
139	rinsho ganka japanese journal of clinical ophthalmology
138	voprosy virusologii
138	vestnik dermatologii i venerologii
137	la medicina del lavoro
136	archives of pathology
136	radiation research
136	lille medical : journal de la faculte de medecine et de pharmacie de l'universite
136	jibi inkoka otolaryngology
134	archives of general psychiatry
134	l'union medicale du canada
133	harefuah
132	clinica chimica acta; international journal of clinical chemistry
131	belgisch tijdschrift voor geneeskunde
131	journal of comparative and physiological psychology
130	cancer
130	der chirurg; zeitschrift fur alle gebiete der operativen medizen
130	polskie archiwum medycyny wewnetrznej
130	hoppe-seyler's zeitschrift fur physiologische chemie
130	journal of clinical pathology
130	biofizika
129	the british journal of radiology
127	vestnik otorinolaringologii
127	the surgical clinics of north america
127	the british journal of surgery
127	acta biologica et medica germanica
127	american journal of clinical pathology
127	bulletin de la societe de pathologie exotique et de ses filiales
125	"laboratorio;" analisis clinicos, bacteriologia, inmunologia, parasitologia,
125	pathologia et microbiologia
124	naunyn-schmiedebergs archiv fur experimentelle pathologie und pharmakologie
124	journal of the american dental association (1939)
124	annales de chirurgie
123	journal of general microbiology
