Date: 03/05/2015	 Scientist Search 1.7
Data Retrieval Mode: medline, reflects file type source of PubMed data in following analysis.
Publication Type Selection: journal article, Affiliation Restriction: none, reflects search constraints of PubMed data in following analysis.
Keyword Mode Selection: none

Year: 1930	Pubs: 4956	IDs: 4956	CSV Author Pubs: 0	Medline Author Pubs: 4038
		PM Max: 1	PM Num: 1	CSV Max: 0	CSV Num: 0	Medline Max: 10	Medline Num: 10
		CSV IDs: 0	Medline IDs: 4956

Publication PubMed Count:<4956>
CSV Publications with Authors:<0>
Medline Publications with Authors:<4038>
Retracted Publications:<0>
Retractions Made:<0>
CSV Unique authors:<0>
Medline Unique authors:<3490>
Medline Unique short authors:<3490>
Medline Unique short first authors:<2797>
CSV Duplicate authors:<0>
Medline Duplicate authors:<809>
Medline Duplicate short authors:<809>
CSV Duplicate author publications:<0>
Medline Duplicate author publications:<2436>
CSV Authors per publication:<0>
CSV APP max:<0>
CSV APP min:<0>
CSV APP var:<0>
Medline Authors per publication:<1.26721149083705>
Medline APP max:<7>
Medline APP min:<1>
Medline APP var:<0.361733234617846>
Unique Journal Titles:<32>
Unique Short Journal Titles:<32>
Medline Publications per unique author:	1.42005730659026
Medline Duplicate publications per duplicate author:	3.01112484548826
Medline Duplicate authors / Unique authors	0.231805157593123


*****JOURNAL PUB FREQUENCIES*****
752	british medical journal
678	proceedings of the royal society of medicine
675	science (new york, ny)
482	canadian medical association journal
353	california and western medicine
256	american journal of public health and the nation's health
221	the biochemical journal
214	annals of surgery
151	proceedings of the national academy of sciences of the united states of america
149	the journal of experimental medicine
91	journal of the national medical association
89	the british journal of ophthalmology
82	the journal of physiology
64	the journal of general physiology
61	journal of bacteriology
61	the journal of clinical investigation
60	the american journal of pathology
53	plant physiology
52	public health reports
50	bulletin of the new york academy of medicine
48	journal of anatomy
43	archives of disease in childhood
43	the journal of hygiene
36	postgraduate medical journal
35	the eugenics review
31	the yale journal of biology and medicine
29	transactions of the american ophthalmological society
29	transactions of the american climatological and clinical association american
23	the journal of neurology and psychopathology
19	the british journal of venereal diseases
18	genetics
8	bulletin of the medical library association

*****KEYWORDS LIST*****

*****KEYWORDS FREQUENCIES*****
<>

*****CSV PUBMED AUTHOR FREQUENCIES*****

*****CSV PUBMED PUB FREQUENCIES*****
<>

*****MEDLINE PUBMED AUTHOR FREQUENCIES*****
41	a g n
26	a d b
23	little, e g
22	wakeley, c p
20	weber, f p
14	scholtz, m
14	hiscock, i v
14	vaughan, h f
13	mckenzie, d
13	hayhurst, e r
12	gibson, g
12	frisbie, w s
12	dundas-grant, j
12	dublin, l i
12	miller, a p
12	greenburg, l
12	young, c c
11	macdougall, e f
11	dickie, w m
11	pinkham, c b
11	routzahn, e g
10	h e m
10	barber, h w
9	osterhout, w j
9	dowling, g b
8	peters, r a
8	morgan, b
8	layton, t b
8	neville, w s
8	morlock, h v
8	collip, j b
7	miller, g a
7	harrison, t r
7	edwards, h
7	brain, r t
7	hattie, w h
7	doggart, j h
7	julianelle, l a
6	brown, a
6	manwaring, w h
6	bancroft, w d
6	hare, d c
6	cope, z
6	chick, h
6	blinks, l r
6	cockerell, t d
6	watson-williams, e
6	vlasto, m
6	worster-drought, c
6	kinnersley, h w
6	patterson, n
6	miller, r
5	rankin, f w
5	rutherford, r
5	mills, e s
5	maccormac, h
5	klotz, o
5	tyler, j r
5	smith, r e
5	zinsser, h
5	starling, h j
5	henderson, v e
5	goldsmith, w n
5	perla, d
5	duke-elder, w s
5	smith, j
5	pilcher, c
5	feldman, w m
5	tolman, r c
5	thomas, c h
5	davies, j h
5	peters, e a
5	hewitt, l f
5	pinchin, a j
5	smith, h p
5	casey, a e
5	pearce, l
5	rolleston, j d
5	krueger, a p
5	cassidy, m a
5	blackader, a d
5	east, t
4	lockhart-mummery, j p
4	morton, j j
4	fleming, a g
4	copping, a m
4	wilson, s a
4	thimann, k v
4	stillman, e g
4	thomas, j w
4	northrop, j h
4	fee, a r
4	hovgaard, w
4	truszkowski, r
4	robison, r
4	dickens, f
4	negus, v e
4	wilson, g s
4	belt, t h
4	hughes, t p
4	myers, b
4	hamilton, j b
4	glaser, r w
4	lange, f
4	webster, l t
4	garrison, f h
4	verrall, p j
4	roscoe, m h
4	reader, v
4	taylor, j
4	pfiffner, j j
4	marmorston-gottesman, j
4	livingston, b e
4	mckee, s h
4	roth, p b
4	osborn, h f
4	marrian, g f
4	branch, a
4	wyllie, w g
4	castaneda, m r
4	just, e e
4	adams, d r
4	vandiver, h s
4	macallum, a b
4	leake, c d
4	brown, l g
4	parkes, a s
4	michal, a d
4	nabarro, d
4	brown, e w
4	rabinowitch, i m
4	courtney, a m
4	gilding, h p
4	wright, r e
4	goodall, j r
4	gilroy, e
4	macleod, j j
4	knight, b c
4	cammidge, p j
4	swingle, w w
4	simms, h s
4	lurie, m b
4	rivers, t m
4	fraser, j s
4	van allen, c m
4	warner, e c
4	broughton-alcock, w
4	avery, h
4	aykroyd, w r
3	broster, l r
3	jones, f s
3	moore, r f
3	hinman, f
3	fairbank, h a
3	pedley, f g
3	henderson, j m
3	goldbloom, a
3	semon, h c
3	gibbard, j
3	mudd, s
3	patterson, j t
3	maccallan, a f
3	cockayne, e a
3	scott, w j
3	bray, g w
3	schlesinger, b
3	magee, h e
3	metcalf, m m
3	strumia, m
3	archibald, r c
3	borsook, h
3	pritchett, i w
3	bargen, j a
3	skinner, c e
3	coffey, w b
3	thomas, w
3	featherstone, h w
3	grey, f t
3	mollison, w m
3	beaumont, j h
3	parker, f
3	lloyd, w
3	griffith, h k
3	shore, l r
3	kendall, f e
3	stearn, a e
3	adair, g s
3	morson, a c
3	mirsky, a e
3	kelly, f c
3	irwin, m
3	stewart, h j
3	mcilroy, d l
3	jacques, a g
3	wigley, j e
3	mayo, w j
3	gray, a m
3	butler, e
3	theobald, g w
3	lucke, b
3	forkner, c e
3	mccutcheon, m
3	law, f w
3	smith, t
3	ryland, a
3	peters, j p
3	newburgh, l h
3	evans, h m
3	mindline, j
3	sibley, w k
3	cattell, m
3	greene, c h
3	macdermot, h e
3	heidelberger, m
3	porter, l
3	hill, s e
3	saslow, g
3	bass, l w
3	deaver, j b
3	coffey, r c
3	menkin, v
3	morris, a d
3	luyten, w j
3	holmes, e g
3	zilva, s s
3	patch, f s
3	kenney, j a
3	forman, l
3	hosoi, k
3	calhoun, j a
3	seashore, c e
3	jones, r w
3	buxton, s j
3	campbell, a d
3	meakins, j c
3	maxted, g
3	dore, s e
3	anson, m l
3	heilbron, i m
3	harris, l j
3	quick, d
3	blakeslee, a f
3	donaldson, m
3	caddy, a
3	colebrook, l
3	gaddum, j h
3	rosenberg, s l
3	barnes, e b
3	rettger, l f
3	best, c h
3	carson, h w
3	east, w n
3	ponder, e
3	evans, e l
3	neale, a v
3	wyckoff, r w
3	gabriel, w b
3	ogilvie, w h
3	barnett, c e
3	izquierdo, j j
3	winton, f r
3	mentzer, s h
3	herbert, f k
3	muller, h j
3	carter, c w
3	eagle, h
3	nabours, r k
3	morison, j m
3	ross, j p
3	lawrence, r d
3	scott, w m
3	cullen, g e
3	paul, j r
3	humber, j d
3	rhoads, c p
3	gun, w t
3	aycock, w l
3	rogers, l a
3	epstein, p s
3	donald, c
3	crow, d a
3	harvey, s c
3	reiner, m
3	hara, h j
3	tillett, w s
3	hannon, r r
3	moelwyn-hughes, e a
3	macdowell, e c
3	walters, w
3	moore, n s
3	norbury, l
3	diamond, j c
3	pauling, l
3	bourne, m c
3	potter, c t
3	johnston, m w
3	olitsky, p k
3	fletcher, w
3	hutchison, r
3	sobotka, h
2	smith, g h
2	fitzgerald, j g
2	bulman, m w
2	edridge-green, f w
2	forsdike, s
2	nitch, c a
2	neame, h
2	jungeblut, c w
2	tidy, h l
2	nutting, p g
2	kerry, r
2	turner, f m
2	dixon, w e
2	bell, e t
2	macpherson, d g
2	kassel, l s
2	gibson, c l
2	mcswiney, b a
2	mackay, f h
2	duran-reynals, f
2	morse, m
2	groves, e w
2	strachan, g i
2	kleeman, r d
2	trask, l m
2	capper, n s
2	harman, n b
2	baker, f c
2	needham, j g
2	north, j p
2	weller, c v
2	evans, g
2	allen, i m
2	little, r b
2	jones, d w
2	clark, g l
2	wiesner, b p
2	ferguson, h f
2	popper, o
2	barton-wright, e c
2	galtsoff, p s
2	hodge, g
2	mann, e
