Date: 03/05/2015	 Scientist Search 1.7
Data Retrieval Mode: medline, reflects file type source of PubMed data in following analysis.
Publication Type Selection: journal article, Affiliation Restriction: none, reflects search constraints of PubMed data in following analysis.
Keyword Mode Selection: none

Year: 1905	Pubs: 2168	IDs: 2168	CSV Author Pubs: 0	Medline Author Pubs: 1446
		PM Max: 1	PM Num: 1	CSV Max: 0	CSV Num: 0	Medline Max: 5	Medline Num: 5
		CSV IDs: 0	Medline IDs: 2168

Publication PubMed Count:<2168>
CSV Publications with Authors:<0>
Medline Publications with Authors:<1446>
Retracted Publications:<0>
Retractions Made:<0>
CSV Unique authors:<0>
Medline Unique authors:<1242>
Medline Unique short authors:<1242>
Medline Unique short first authors:<1105>
CSV Duplicate authors:<0>
Medline Duplicate authors:<237>
Medline Duplicate short authors:<237>
CSV Duplicate author publications:<0>
Medline Duplicate author publications:<628>
CSV Authors per publication:<0>
CSV APP max:<0>
CSV APP min:<0>
CSV APP var:<0>
Medline Authors per publication:<1.12932226832642>
Medline APP max:<15>
Medline APP min:<1>
Medline APP var:<0.421035087014494>
Unique Journal Titles:<16>
Unique Short Journal Titles:<16>
Medline Publications per unique author:	1.74557165861514
Medline Duplicate publications per duplicate author:	2.64978902953587
Medline Duplicate authors / Unique authors	0.190821256038647


*****JOURNAL PUB FREQUENCIES*****
608	british medical journal
487	science (new york, ny)
396	california state journal of medicine
154	annals of surgery
117	public health papers and reports
55	the journal of physiology
53	public health reports
47	the journal of experimental medicine
39	american journal of public hygiene
38	the journal of hygiene
38	journal of anatomy and physiology
36	medical library and historical journal
34	the journal of medical research
26	transactions of the american ophthalmological society
22	medico-chirurgical transactions
18	transactions of the american climatological association for the year  american

*****KEYWORDS LIST*****

*****KEYWORDS FREQUENCIES*****
<>

*****CSV PUBMED AUTHOR FREQUENCIES*****

*****CSV PUBMED PUB FREQUENCIES*****
<>

*****MEDLINE PUBMED AUTHOR FREQUENCIES*****
15	ward, r d
12	bessey, c e
9	campbell, h
7	smith, t
7	mackenzie, j
7	chapin, c v
6	weston, r s
6	hovey, e o
6	robson, a w
5	gill, t
5	bauer, l a
5	elliston, g
5	barus, c
5	skinner, b
5	clark, h w
5	eastman, c r
5	o, h f
5	howard, w t
4	gorham, f p
4	cardwell, j c
4	wiley, h w
4	whipple, g c
4	jordan, d s
4	boycott, a e
4	cooper, c m
4	buxton, b h
4	park, w h
4	pease, h d
4	fulton, j s
4	kimberly, a e
4	weber, f p
4	tombo, r jr
4	thompson, w h
4	stejneger, l
4	cockerell, t d
3	guthrie, c c
3	scudder, c l
3	porter, w t
3	graham-smith, g s
3	deane, l c
3	robinson, f c
3	gallagher, f w
3	long, j h
3	leighton, m o
3	amyot, j a
3	gilbert, g k
3	cameron, j
3	moore, v a
3	russ, r
3	nuttall, g h
3	lehmann, w
3	legge, t m
3	sumner, f b
3	taylor, a e
3	allen, e w
3	haldane, j s
3	walker, e l
3	garrod, a e
3	morgan, t h
3	thomas, j l
3	martin, c j
3	bland-sutton, j
3	mcweeney, e j
3	hiss, p h
3	allen, j a
3	treves, f
3	doty, a h
3	hill, h w
3	l, f a
3	russell, i c
3	liceaga, e
2	phelps, e b
2	richards, e h
2	reynolds, h b
2	brown, h r
2	knott, j
2	cumston, c g
2	paton, d n
2	donnan, w d
2	opie, e l
2	peterson, o a
2	halsted, g b
2	gudger, e w
2	maclaren, r
2	winslow, c e
2	wesbrook, f f
2	anderson, c
2	mayo, w j
2	wheeler, c e
2	pahl, p c
2	cheatle, g l
2	chase, h m
2	moynihan, b g
2	jones, r
2	hedin, s g
2	mallory, f b
2	franklin, w s
2	meyer, w
2	simpson, s
2	walsh, j j
2	woodward, r s
2	abrahams, b
2	emerson, h
2	seaman, w h
2	macgowan, g
2	ruffer, m a
2	klotz, o
2	darwin, g h
2	oliva, a
2	bull, c s
2	welty, c f
2	gowers, w r
2	taylor, j
2	caie, w j
2	moore, n
2	dale, s s
2	pottenger, f m
2	flint, c p
2	butlin, h t
2	willard, w p
2	goodall, a
2	duval, c w
2	steinhardt, e
2	edmunds, a
2	anderson, h k
2	allbutt, t c
2	banks, n
2	sattler, r
2	elliott, t r
2	kipp, c j
2	linton, e
2	lange, f
2	huntington, t w
2	doran, a
2	longcope, w t
2	barkan, a
2	poynton, f j
2	wright, h
2	mayer, a
2	gunn, h
2	parsons, c l
2	asay, j l
2	howard, l o
2	gage, s d
2	pollard, c l
2	dean, b
2	curtin, r g
2	torrey, j c
2	durgin, s h
2	moore, g t
2	krotoszyner, m
2	lockwood, c b
2	pearl, r
2	ross, p h
2	cushny, a r
2	lewis, p a
2	watson, f s
2	corner, e m
2	kelly, j a
2	johnson, g a
2	branson, w p
2	mcgee, w j
2	wollstein, m
2	wilbur, r l
2	lane, w a
2	andrewes, f w
2	hadley, p b
2	huntington, a t
2	perry, j c
2	sheen, w
2	freyer, p j
2	kilvington, b
2	dintenfass, g
2	minot, c s
2	bruce, d
2	claiborne, j h
2	wilder, h h
2	meyer, h
2	hunter, a
2	sadtler, s p
2	wilson, e b
2	von adelung, e
2	gordon, w
2	perkins, r g
2	garceau, a
2	davis, w m
2	osler, w
2	mcguire, e r
2	thorne, w s
2	hastings, h
2	howe, j l
2	stevenson, t h
2	councilman, w t
2	thomson, s
2	spillman, w j
2	oliver, t
2	foster, n k
2	agassiz, a
2	lloyd, f e
2	newsholme, a
2	washburn, f l
2	petrie, g f
2	puckner, w a
2	eigenmann, c h
2	hayward, t e
2	owen, e
2	codman, e a
2	fuller, e
2	barker, a e
2	elgin, w f
2	doig, r l
2	hewlett, a w
2	michels, e
2	crowell, j f
2	sedgwick, w t
2	stieglitz, j
2	loeb, j
2	stoddard, c s
2	meltzer, s j
2	langley, j n
2	davenport, c b
2	fowler, h w
2	hutchinson, j
2	bolley, h l
2	wheeler, w m
2	bailey, l h
2	inchley, o
2	van zwalenburg, c
2	metcalf, m m
2	watson, c
2	norris, c
2	harris, n m
2	barbat, j h
2	evans, g h
2	lambkin, f j
2	cole, f n
2	andrews, e w
1	seelig, g
1	hele, t s
1	anderson, w
1	kraemer, h
1	gibson, g a
1	krauss, w c
1	bucknall, r
1	erlanger, j
1	beck, c
1	owens, j e
1	dandeno, j b
1	tweedy, j
1	whitman, f p
1	chamberlain, c j
1	bridge, n
1	gullan, a g
1	gadow, h
1	fuller, c a
1	woltmann, h
1	konkle, w b
1	mccrae, t
1	furst, c
1	lester, j c
1	nipher, f e
1	conrad, d a
1	monks, g h
1	cammidge, p j
1	cheesman, w s
1	clark, h l
1	hardy, w b
1	mcatee, w l
1	lusk, g
1	baker, m n
1	bain, w
1	carrel, a
1	drysdale, g n
1	wallace, c
1	bramwell, b
1	batchelor, g a
1	carnegie, a
1	h, r t
1	billings, j s
1	reid, e w
1	lucas, k
1	wilbert, m i
1	french, j m
1	gaynor, j j
1	newstead, r
1	tebbs, b n
1	abbott, g e
1	fisher, c p
1	sage, j h
1	hewett, e l
1	greene, w d
1	wood, f c
1	henderson, a m
1	fischer, h
1	strong, r p
1	rochester, de l
1	eliot, c w
1	langmead, f
1	niemack, j
1	stoney, r a
1	poole, f s
1	heaton, g
1	fagge, c h
1	becker, g f
1	jones, j
1	collins, j r
1	eustace, h j
1	beadnell, c m
1	sargent, p w
1	tribe, r h
1	magrath, g b
1	summers, j e
1	browning, c c
1	nagel, c s
1	ross, e h
1	bunting, t l
1	morales, j d
1	fredrick, m w
1	sheill, j s
1	wiener, j
1	collins, h d
1	greene, c w
1	kelley, e a
1	rolleston, j d
1	denison, c
1	thurnam, r
1	kern, o j
1	fairchild, h l
1	baxter-tyrie, c c
1	balean, h
1	getman, f h
1	alden, c h
1	vaughan, v c
1	wolfstein, d i
1	moorhead, g
1	pilcher, p m
1	lilienthal, h
1	caiger, h
1	smith, a w
1	greene, e l
1	putnam, j j
1	barcroft, j
1	johnston, h m
1	brice, e
1	fischer, m h
1	liversidge, a
1	holland, w j
1	johnston, j b
1	alexander, s
1	dresbach, m
1	de la luy gomez, j
1	fowler, h a
1	emmons, s f
1	bonilla, e j
1	lobingier, a s
1	hastings, t w
1	fraps, g s
1	kress, g h
1	addinsell, a w
1	martineau, a j
1	rowell, g b
1	longley, f f
1	savage, w g
1	jastrow, j
1	flick, l f
1	piper, c v
1	plant, h w
1	lett, h
1	novy, f g
1	young, h h
