Date: 03/05/2015	 Scientist Search 1.7
Data Retrieval Mode: medline, reflects file type source of PubMed data in following analysis.
Publication Type Selection: journal article, Affiliation Restriction: none, reflects search constraints of PubMed data in following analysis.
Keyword Mode Selection: none

Year: 1941	Pubs: 4383	IDs: 4383	CSV Author Pubs: 0	Medline Author Pubs: 3395
		PM Max: 1	PM Num: 1	CSV Max: 0	CSV Num: 0	Medline Max: 9	Medline Num: 9
		CSV IDs: 0	Medline IDs: 4383

Publication PubMed Count:<4383>
CSV Publications with Authors:<0>
Medline Publications with Authors:<3395>
Retracted Publications:<0>
Retractions Made:<0>
CSV Unique authors:<0>
Medline Unique authors:<3968>
Medline Unique short authors:<3968>
Medline Unique short first authors:<2741>
CSV Duplicate authors:<0>
Medline Duplicate authors:<722>
Medline Duplicate short authors:<722>
CSV Duplicate author publications:<0>
Medline Duplicate author publications:<1815>
CSV Authors per publication:<0>
CSV APP max:<0>
CSV APP min:<0>
CSV APP var:<0>
Medline Authors per publication:<1.49072164948454>
Medline APP max:<18>
Medline APP min:<1>
Medline APP var:<0.760075915157241>
Unique Journal Titles:<39>
Unique Short Journal Titles:<39>
Medline Publications per unique author:	1.10458669354839
Medline Duplicate publications per duplicate author:	2.51385041551247
Medline Duplicate authors / Unique authors	0.18195564516129


*****JOURNAL PUB FREQUENCIES*****
944	science (new york, ny)
561	british medical journal
366	canadian medical association journal
293	california and western medicine
238	annals of surgery
181	american journal of public health and the nation's health
169	proceedings of the royal society of medicine
153	the biochemical journal
128	proceedings of the national academy of sciences of the united states of america
111	canadian journal of comparative medicine and veterinary science
101	the journal of experimental medicine
97	journal of bacteriology
80	the journal of clinical investigation
75	the british journal of ophthalmology
73	journal of the national medical association
71	the american journal of pathology
69	plant physiology
65	the yale journal of biology and medicine
64	the journal of general physiology
62	bulletin of the new york academy of medicine
56	the journal of physiology
52	public health reports
38	the journal of hygiene
38	journal of anatomy
35	genetics
34	bulletin of the medical library association
31	transactions of the american ophthalmological society
25	archives of disease in childhood
25	british heart journal
24	the eugenics review
24	transactions of the american clinical and climatological association
24	the ulster medical journal
23	postgraduate medical journal
16	journal of neurology and psychiatry
15	the british journal of venereal diseases
12	annals of the rheumatic diseases
8	bacteriological reviews
1	human fertility
1	zeitschrift fur tierzuchtung und zuchtungsbiologie : organ der

*****KEYWORDS LIST*****

*****KEYWORDS FREQUENCIES*****
<>

*****CSV PUBMED AUTHOR FREQUENCIES*****

*****CSV PUBMED PUB FREQUENCIES*****
<>

*****MEDLINE PUBMED AUTHOR FREQUENCIES*****
19	pinkham, c b
15	manwaring, w h
12	armstrong, d b
11	moulton, f r
11	lentz, j
9	miller, g a
9	peart, h f
9	scholtz, m
8	sabin, a b
7	griffith, a s
6	wolf, e
6	crozier, w j
6	heidelberger, m
6	buchbinder, l
6	kabat, e a
6	moore, t
6	paul, j r
5	roche, a e
5	weddell, g
5	miller, h
5	geiger, j c
5	danielli, j f
5	winternitz, m c
5	sterne, t e
5	routley, t c
5	mylon, e
5	williams, r t
5	christie, a
5	ward, r
5	horsfall, f l
5	mccance, r a
5	cole, w h
5	smadel, j e
5	casals, j
5	miller, b f
4	treffers, h p
4	stewart, c p
4	loewenstein, a
4	parkinson, j
4	mackay, h m
4	wood, p
4	hammon, w m
4	legge, j w
4	baker, z
4	lawrence, j h
4	best, c h
4	whipple, g h
4	synge, r l
4	harkins, h n
4	blakeslee, a f
4	millin, t
4	martin, a j
4	williams, d
4	knaysi, g
4	williams, r j
4	castle, w e
4	madinaveitia, j
4	glees, p
4	cole, k s
4	lemberg, r
4	zechmeister, l
4	waters, e t
4	mcmaster, p d
4	rivers, t m
4	walters, w
4	mitchell, c a
4	vaughan, h f
4	kenny, m
4	le gros clark, w e
4	katzenstein, r
4	ravdin, i s
4	lennette, e h
4	furth, j
3	avery, o t
3	rous, p
3	palacios, r
3	parker, g h
3	bedford, d e
3	sadusk, j f
3	meadows, s p
3	boudreau, f g
3	foster, j w
3	mudd, s
3	eaton, f m
3	couch, j h
3	cole, l j
3	webster, l t
3	rimington, c
3	dock, w
3	simpson, w m
3	zilva, s s
3	madden, s c
3	fox, d l
3	law, f w
3	angevine, d m
3	alexander, j
3	jones, h w
3	murrill, w a
3	swann, w f
3	brown, w h
3	rettger, l f
3	bywaters, e g
3	burgess, j f
3	scott, j c
3	abrahams, a
3	wolman, a
3	martin, h
3	zuckerman, s
3	lewis, t
3	anson, m l
3	sorsby, a
3	evans, w
3	allen, h s
3	greene, h s
3	ruben, s
3	trask, j d
3	spencer, e l
3	tisdall, f f
3	lafitte, f
3	warren, e
3	wilson, p w
3	lam, c r
3	breslin, l j
3	smith, e l
3	blalock, a
3	bodine, j h
3	carson, s f
3	osborn, g r
3	burr, h s
3	martin, j p
3	birkhoff, g d
3	harrison, r w
3	ralli, e p
3	phelps, e b
3	seidell, a
3	miller, r a
3	chase, l a
3	smith, a h
3	allen, f h
3	bourne, g
3	hilditch, t p
3	gordon, a h
3	mayo, c w
3	dobzhansky, t
3	broster, l r
3	duran-reynals, f
3	harman, n b
3	germann, f e
3	quastel, j h
3	mcintosh, r a
3	shepard, w p
3	gallie, w e
3	lindstrom, e w
3	batchelor, r c
3	ireland, j t
3	davidson, l s
3	katchalsky, a
3	werkman, c h
3	mirsky, a e
3	solotorovsky, m
3	wright, h w
3	mccollum, e v
3	lockwood, w h
3	erf, l a
3	hawking, f
3	carmichael, e a
3	coakley, t
3	peters, j p
3	ponder, e
3	sollner, k
3	macleod, c m
3	solowey, m
3	touroff, a s
3	bell, g h
3	baird, k a
3	korenchevsky, v
3	wilson, e b
3	harris, l j
3	hoff, h e
3	berry, g p
3	stanley, w m
3	grant, r t
3	gunn, j a
3	fankuchen, i
3	tennant, r
3	smedley-maclean, i
3	macintosh, f c
3	syverton, j t
3	roberts, e a
3	burt, j b
3	burn, c g
3	winkler, a w
3	lamport, h
3	robbins, w j
3	rhoads, c p
3	mueller, j h
2	scarlett, e p
2	stanier, r y
2	robinson, r h
2	weiskotten, h g
2	evans, f t
2	hall, g e
2	mcclung, c e
2	osterman, e
2	elgood, c
2	goodale, h d
2	baxter, h
2	hogarth, w p
2	ham, a w
2	hutson, l r
2	papp, c
2	tyzzer, e e
2	carter, r f
2	erickson, r o
2	white, l a
2	mclaughlin, d b
2	weil, a j
2	marin, a
2	lin, c c
2	mack, w b
2	humphreys, e m
2	zwicky, f
2	taffel, m
2	knapp, a
2	marshall, c
2	fox, c l
2	mirsky, i a
2	reid, c
2	roome, n w
2	ayre, j e
2	pedley, f g
2	honeyman, w m
2	warren, s l
2	nixon, j a
2	plunkett, r e
2	andrew, w
2	fekete, e
2	goldbloom, a
2	kent, n l
2	exner, f m
2	reifenstein, g h
2	dean, r b
2	boyland, e
2	thorpe, w v
2	phillips, h
2	burwell, c s
2	vickery, h b
2	coward, k h
2	hahn, p f
2	yuile, c l
2	buxton, p a
2	cramer, w
2	hoagland, c l
2	harvey, e b
2	gabe, j
2	hoogerheide, j c
2	henderson, v e
2	antoncic, r f
2	stevenson, l d
2	armstrong, h g
2	klendshoj, n c
2	little, c c
2	de cicco, j
2	gagge, a p
2	conklin, e g
2	courtice, f c
2	penberthy, g c
2	goldie, e a
2	hume, e m
2	leuchtenberger, c
2	carlson, a j
2	sydenstricker, v p
2	lee, j s
2	egler, f e
2	mclean, d w
2	rogers, l
2	bourdillon, j
2	stone, m h
2	meleney, f l
2	long, e r
2	cooper, a
2	bernal, j d
2	freeman, a w
2	moore, d h
2	carmichael, l
2	bunting, h
2	dubos, r j
2	bukantz, s c
2	ferguson, f f
2	templeton, h j
2	bullowa, j g
2	clowes, g h
2	dailey, u g
2	henderson, t
2	wang, y l
2	callis, h a
2	rodger, t f
2	kamen, m d
2	wintner, a
2	conway, e j
2	freeland, m r
2	wyatt, t e
2	marples, e
2	liebow, a a
2	romanes, g j
2	wilson, g s
2	schug, r
2	ackert, j e
2	evans, h m
2	caldwell, g a
2	beall, d
2	foote, f w
2	maclean, b
2	rubin, s h
2	montgomery, m l
2	winsbury-white, h p
2	dodd, h
2	hengerer, a d
2	eggers, c
2	mason, m l
2	fallis, l s
2	murrell, m
2	turner, j w
2	rose, b
2	robertson, o h
2	salomon, k
2	stead, e a
2	luck, j m
2	carlyle, r e
2	macfarlane, m g
2	biggart, j h
2	heinemann, m
