Date: 03/05/2015	 Scientist Search 1.7
Data Retrieval Mode: medline, reflects file type source of PubMed data in following analysis.
Publication Type Selection: journal article, Affiliation Restriction: none, reflects search constraints of PubMed data in following analysis.
Keyword Mode Selection: none

Year: 1914	Pubs: 3583	IDs: 3583	CSV Author Pubs: 0	Medline Author Pubs: 2757
		PM Max: 1	PM Num: 1	CSV Max: 0	CSV Num: 0	Medline Max: 8	Medline Num: 8
		CSV IDs: 0	Medline IDs: 3583

Publication PubMed Count:<3583>
CSV Publications with Authors:<0>
Medline Publications with Authors:<2757>
Retracted Publications:<0>
Retractions Made:<0>
CSV Unique authors:<0>
Medline Unique authors:<1958>
Medline Unique short authors:<1958>
Medline Unique short first authors:<1766>
CSV Duplicate authors:<0>
Medline Duplicate authors:<532>
Medline Duplicate short authors:<532>
CSV Duplicate author publications:<0>
Medline Duplicate author publications:<1655>
CSV Authors per publication:<0>
CSV APP max:<0>
CSV APP min:<0>
CSV APP var:<0>
Medline Authors per publication:<1.11751904243743>
Medline APP max:<5>
Medline APP min:<1>
Medline APP var:<0.147959314563035>
Unique Journal Titles:<19>
Unique Short Journal Titles:<19>
Medline Publications per unique author:	1.82992849846782
Medline Duplicate publications per duplicate author:	3.1109022556391
Medline Duplicate authors / Unique authors	0.27170582226762


*****JOURNAL PUB FREQUENCIES*****
1071	proceedings of the royal society of medicine
624	science (new york, ny)
488	british medical journal
337	california state journal of medicine
197	american journal of public health (new york, ny : 1912)
162	annals of surgery
137	canadian medical association journal
104	the journal of experimental medicine
66	the biochemical journal
65	journal of the national medical association
63	the journal of medical research
52	public health reports
51	the journal of hygiene
51	the journal of physiology
29	journal of anatomy and physiology
25	transactions of the american climatological and clinical association american
24	transactions of the american ophthalmological society
21	the eugenics review
16	bulletin of the medical library association

*****KEYWORDS LIST*****

*****KEYWORDS FREQUENCIES*****
<>

*****CSV PUBMED AUTHOR FREQUENCIES*****

*****CSV PUBMED PUB FREQUENCIES*****
<>

*****MEDLINE PUBMED AUTHOR FREQUENCIES*****
23	little, e g
19	davis, h j
17	mckenzie, d
16	weber, f p
15	davis, e d
14	shipley, a e
13	sibley, w k
12	tilley, h
12	pernet, g
12	buist, h m
11	sequeira, j h
10	dore, s e
10	milligan, w
10	turner, p
10	wynter, w e
9	mummery, p l
9	peters, e a
9	crookshank, f g
9	bessey, c e
9	petersen, w
9	osler, w
9	jenkins, g j
9	jobling, j w
8	cockayne, e a
8	wolbach, s b
8	rolleston, h d
8	poynton, f j
7	clarke, j m
7	bonney, v
7	amoss, h l
7	mollison, w m
7	macleod, j m
7	whipham, t r
7	layton, t b
7	stoddart, w h
7	donelan, j
6	pringle, j j
6	funk, c
6	rous, p
6	hill, h w
6	watson-williams, p
6	gray, a m
6	smith, e b
6	dailey, u g
6	hertz, a f
6	rolleston, j d
6	langmead, f
6	shufflebotham, f
6	stevens, t g
5	weed, l h
5	cope, v z
5	cooper, e a
5	roman, c v
5	starling, e h
5	dawson, b
5	cautley, e
5	kelson, w h
5	wray, c
5	murphy, j b
5	whipple, g h
5	horne, w j
5	waggett, e b
5	galloway, j
5	vaughan, v c
5	corbett, d
5	woodward, c
5	stewart, p
5	fitzwilliams, d c
5	kellock, t h
5	evans, c l
5	loeb, l
4	bankart, a s
4	roth, p b
4	midelton, w j
4	bland-sutton, j
4	meachen, g n
4	corner, e m
4	brown, p k
4	wolf, c g
4	stuart-low, w
4	parsons, c l
4	macnaughton-jones, h
4	fleisher, m s
4	paterson, d r
4	todd, j l
4	boyd, s
4	little, e m
4	brown, r
4	weinzirl, j
4	rowland, s
4	brooks, c f
4	sutherland, g a
4	carrel, a
4	bunch, j l
4	maccurdy, g g
4	steadman, f s
4	adamson, h g
4	boyle, h e
4	elliott, t r
4	kidd, p
4	flexner, s
4	sawyer, w a
4	bacot, a w
4	harmer, d
4	bernheim, b m
4	cattell, j m
4	routh, a
4	clark, p f
3	brown, a
3	osterhout, w j
3	krumwiede, c
3	hughes, b
3	whitfield, a
3	thomson, d
3	tully, e j
3	schmidt, h
3	thalhimer, w
3	chick, h
3	harman, n b
3	beaumont, w m
3	williamson, h
3	davies, i j
3	ebeling, a h
3	semon, h c
3	rothschild, m a
3	holmes, s j
3	parkinson, j p
3	force, j n
3	leitch, a
3	armstrong, g e
3	watson, c g
3	gardner, j a
3	howard, l o
3	rows, r g
3	batten, f e
3	wegefarth, p
3	o'gara, p j
3	evans, e l
3	roberts, j e
3	cockerell, t d
3	griffith, w s
3	norbury, l e
3	cummins, w t
3	andrews, h r
3	curtis, h
3	carr, j w
3	reid, d g
3	walton, a j
3	penfold, w j
3	guthrie, l
3	guyer, m f
3	harden, a
3	sherman, h m
3	walpole, g s
3	johnson, w
3	farrant, r
3	spencer, w g
3	mcdonagh, j e
3	whiteford, c h
3	flemming, a l
3	muecke, f f
3	lake, r
3	bainbridge, f a
3	honeij, j a
3	watkins, j t
3	pannett, c a
3	maccormac, h
3	levy, a g
3	pritchard, e
3	klotz, o
3	burrows, h
3	graham, c i
3	cheatle, g l
3	karsner, h t
3	adrian, e d
3	lucas, w p
3	purslow, c e
3	rosenheim, o
3	stone, h b
3	guthrie, t
3	turney, h g
3	henderson, e e
3	floyd, c
3	reynolds, h b
3	patterson, n
3	zinsser, h
3	ewins, a j
3	doran, a
3	marshall, f h
3	stewart, f t
3	hall, p m
3	elliot, r h
3	boyd, e j
3	whale, g h
3	spencer, h r
3	castle, w e
3	page, c m
3	ruggles, h e
3	maxwell, r d
3	whipple, g c
3	wilkinson, g
3	west, s
3	hutchison, r
3	lambert, r a
3	hindle, e
3	marine, d
3	shaw, h b
3	kisch, h a
2	morris, m
2	gray, h m
2	anderson, j f
2	dixon, w e
2	gardiner, h
2	whitfield
2	hitchens, a p
2	eloesser, l
2	tombo, r jr
2	beinhart, e g
2	singer, c
2	buist, r c
2	spencer, j c
2	levison, c g
2	skelton, r f
2	lawford, j b
2	mcclendon, j f
2	ward, g r
2	gundrum, f f
2	von adelung, e
2	davis, l
2	kugeler, h b
2	mcphedran, a
2	riviere, c
2	mort, s
2	wilson, w
2	luker, s g
2	carmichael, r d
2	nixon, j a
2	ball, w g
2	cow, d
2	saundby, r
2	fairbank, h a
2	christiansen, j
2	hansen, p
2	cumberbatch, e p
2	mackenzie, j
2	whale, h l
2	white, c
2	moore, g t
2	clark, j b
2	lewis, p a
2	pearl, r
2	mummery, s p
2	shattock, s g
2	dall, w h
2	losee, j r
2	lockwood, c b
2	thomas, j l
2	weston, p g
2	baldwin, a
2	osborne, w a
2	davis, h
2	blakeslee, a f
2	libby, g f
2	tucker, g e
2	grave, c
2	mclean, a
2	cheyne, w w
2	symes, j o
2	harvey, e n
2	patterson, s w
2	scott, s g
2	smith, h m
2	medigreceanu, f
2	orr, d
2	noguchi, h
2	pembrey, m s
2	heath, d
2	rosenheim, m c
2	clark, g a
2	haldane, j s
2	burt, c
2	morse, w f
2	eddowes, a
2	dudgeon, l s
2	yorke, w
2	johnson, a
2	o'malley, j f
2	thompson, a h
2	brown, w h
2	zundel, c e
2	mccardie
2	barris, j
2	hernaman-johnson, f
2	hewitt, f
2	crowe, h w
2	meek, w o
2	mayo, c h
2	dwyer, j g
2	barrington-ward, l e
2	cole, r
2	frothingham, c
2	barwell, h
2	evans, g h
2	robinson, h b
2	rogers, j
2	champtaloup, s t
2	melvin, g s
2	maclean, h
2	pope, s
2	webb-johnson, c
2	savill, a
2	kennaway, e l
2	webster, a g
2	hope, c w
2	lange, l b
2	loeb, j
2	low, g c
2	morton, r
2	meltzer, s j
2	ballantyne, j w
2	lillie, r s
2	merriam, j c
2	mcqueen, j m
2	raper, h s
2	norris, r v
2	strong, w w
2	greeves, r a
2	parker, g h
2	webb, j c
2	french, h
2	primrose, a
2	greenwood, m
2	curtin, e
2	orr, j b
2	wiggers, c j
2	burnet, j
2	elmslie, r c
2	briggs, h
2	barwell
2	harrison, l w
2	hayes, h k
2	thompson, r
2	crane, c c
2	raw, n
2	edie, e s
2	lyall, h w
2	dale, h h
2	kelly, r e
2	drummond, h
2	wood, f
2	furnivall, p
2	pickerill, h p
2	drummond, j c
2	brooks, r s
2	burlingame, l
2	archibald, r g
2	bacot, a
2	horsley, v
2	speese, j
2	green, l d
2	clarke, j j
2	curtis, f g
2	newton, e b
2	tubby, a h
2	parkinson, j
