Date: 03/05/2015	 Scientist Search 1.7
Data Retrieval Mode: medline, reflects file type source of PubMed data in following analysis.
Publication Type Selection: journal article, Affiliation Restriction: none, reflects search constraints of PubMed data in following analysis.
Keyword Mode Selection: none

Year: 1924	Pubs: 4212	IDs: 4212	CSV Author Pubs: 0	Medline Author Pubs: 3328
		PM Max: 1	PM Num: 1	CSV Max: 0	CSV Num: 0	Medline Max: 9	Medline Num: 9
		CSV IDs: 0	Medline IDs: 4212

Publication PubMed Count:<4212>
CSV Publications with Authors:<0>
Medline Publications with Authors:<3328>
Retracted Publications:<0>
Retractions Made:<0>
CSV Unique authors:<0>
Medline Unique authors:<2720>
Medline Unique short authors:<2720>
Medline Unique short first authors:<2249>
CSV Duplicate authors:<0>
Medline Duplicate authors:<699>
Medline Duplicate short authors:<699>
CSV Duplicate author publications:<0>
Medline Duplicate author publications:<2060>
CSV Authors per publication:<0>
CSV APP max:<0>
CSV APP min:<0>
CSV APP var:<0>
Medline Authors per publication:<1.22626201923077>
Medline APP max:<12>
Medline APP min:<1>
Medline APP var:<0.346341556345903>
Unique Journal Titles:<27>
Unique Short Journal Titles:<27>
Medline Publications per unique author:	1.54852941176471
Medline Duplicate publications per duplicate author:	2.94706723891273
Medline Duplicate authors / Unique authors	0.256985294117647


*****JOURNAL PUB FREQUENCIES*****
819	proceedings of the royal society of medicine
632	science (new york, ny)
433	british medical journal
396	canadian medical association journal
291	american journal of public health (new york, ny : 1912)
284	california and western medicine
204	annals of surgery
190	the biochemical journal
138	the journal of experimental medicine
123	proceedings of the national academy of sciences of the united states of america
84	the british journal of ophthalmology
73	the journal of general physiology
65	the journal of physiology
58	california state journal of medicine
52	public health reports
49	journal of the national medical association
46	journal of bacteriology
46	journal of anatomy
42	transactions of the american ophthalmological society
36	the journal of hygiene
30	genetics
28	transactions of the american climatological and clinical association american
26	the journal of medical research
21	the journal of neurology and psychopathology
21	the eugenics review
13	bulletin of the medical library association
12	the journal of clinical investigation

*****KEYWORDS LIST*****

*****KEYWORDS FREQUENCIES*****
<>

*****CSV PUBMED AUTHOR FREQUENCIES*****

*****CSV PUBMED PUB FREQUENCIES*****
<>

*****MEDLINE PUBMED AUTHOR FREQUENCIES*****
17	little, e g
14	wolman, a
14	dublin, l i
14	hayhurst, e r
13	young, c c
12	dysart, n c
12	crozier, w j
12	clark, t
12	tobey, j a
11	routzahn, e g
11	avery, o t
10	barber, h w
10	dundas-grant, j
10	livingston, b e
9	wilson, e b
9	worster-drought, c
9	neill, j m
9	duane, w
9	zilva, s s
8	mckenzie, d
8	semon, h c
8	northrop, j h
8	gray, a m
8	webster, l t
7	barus, c
7	dore, s e
7	weber, f p
7	buist, h m
7	du nouy, p l
7	wilson, s a
7	jobson, t b
7	robison, r
7	butler, t h
7	firth, d
6	roth, p b
6	dill, d b
6	evans, e l
6	norbury, l e
6	bogert, m t
6	morgan, h j
6	clark, g l
6	elmslie, r c
6	layton, t b
6	alexander, j w
6	jordan, d s
6	alsberg, c l
6	castle, w e
6	verrall, p j
5	mackenzie, j
5	mcmaster, p d
5	doubleday, f n
5	gordon-watson, c
5	kay, h d
5	friel, a r
5	winslow, c e
5	rabinowitch, i m
5	miller, c p
5	east, c f
5	poynton, f j
5	mcvail, j c
5	lang, b
5	miller, g a
5	mudd, s
5	wilson, t s
5	lockhart-mummery, j p
5	scott, h h
5	dale, h h
5	rous, p
5	gibb, j a
5	myers, b
5	maccormac, h
5	mccarrison, r
5	luyten, w j
5	howell, b w
4	drury, d r
4	harris, l i
4	banks-davis, h j
4	schryver, s b
4	boas, m a
4	branch, a
4	hill, a v
4	cushing, h b
4	moore, r l
4	parkes, a s
4	lee, w e
4	o'malley, j f
4	watson-williams, e
4	horder, t
4	robertson, o h
4	luck, j m
4	kunitz, m
4	bourne, w
4	fairchild, h l
4	macbride, h j
4	macleod, j j
4	binger, c a
4	hurst, a f
4	pitts, a t
4	plimmer, r h
4	dodds, e c
4	archibald, e
4	collier, j
4	turner, j g
4	hutchison, r
4	banister, j b
4	miller, r
4	pereira, j r
4	brody, s
4	pearl, r
4	graham, g
4	o'donovan, w j
4	stillman, e g
4	swift, h f
4	ayers, s h
4	jones, f s
4	federighi, h
4	fairbank, h a
4	coblentz, w w
4	thomson, s
4	jackson, e
4	stearn, e w
4	richardson, r g
4	johnson, w t
4	cajori, f
4	mcilroy, a l
4	sibley, w k
4	macdermot, h e
4	adie, w j
4	stearn, a e
4	harris, w
4	conn, h j
4	judd, e s
4	hobday, f
4	dudley, h w
4	steadman, f s
4	perkins, g
4	deaver, j b
4	benedict, f g
3	dowling, g b
3	nieuwland, j a
3	blakeslee, a f
3	harrison, g a
3	cunningham, j f
3	jennings, h s
3	hecht, s
3	percival, a s
3	gantt, w h
3	howard, l o
3	gardner, j a
3	geiger, j c
3	korenchevsky, v
3	fraser, f r
3	osborn, h f
3	jaffe, h l
3	aitken, d m
3	levene, p a
3	brow, g r
3	harrower, g
3	chibnall, a c
3	hughes, j s
3	reznikoff, p
3	linder, g c
3	downs, t m
3	southgate, h w
3	felty, a r
3	cole, w h
3	savatard, l
3	drummond, j c
3	fildes, g
3	davis, w m
3	cameron, a t
3	allison, s k
3	howell, c m
3	smith, s
3	mudd, e b
3	viner, n
3	lipschutz, a
3	cohn, a e
3	dixon, m
3	ayrton, j
3	brown, w h
3	peters, e a
3	rettger, l f
3	watson-williams, p
3	loeb, j
3	edgar, g
3	chapin, c v
3	patterson, n
3	barry, d t
3	lundsgaard, c
3	pinkham, c b
3	macleod, j m
3	emerson, h
3	lake, r
3	mcadie, a
3	white, h p
3	keith, a
3	jacques, e s
3	thurlow, s
3	sequeira, j h
3	pearce, l
3	paton, l
3	lyman, t
3	schmidt, c l
3	scholl, a j
3	de boer, s
3	monod, g
3	berry, e w
3	coates, v
3	haldane, j b
3	van slyke, d d
3	aub, j c
3	carr, m
3	hartree, w
3	elliot, r h
3	park, w h
3	walters, w
3	young, g
3	anderson, h g
3	millikan, r a
3	quastel, j h
3	sia, r h
3	collier, j s
3	cooper, e a
3	woodman, m
3	dudgeon, l s
3	fricke, h
3	dixon, w e
3	williams, s r
3	lowry, e
3	martland, m
3	harman, n b
3	nicholson, f m
3	edwards, s
3	struthers, r r
3	souttar, h s
3	hinman, f
3	moore, r f
3	parker, f
3	tilley, h
3	kelson, w h
3	waugh, t r
3	fitzgibbon, g
3	greenberg, d m
3	tooke, f
3	gordon, a h
3	bronfenbrenner, j j
3	mackenzie, d w
3	wharry, h m
3	wyeth, g a
3	long, c n
3	low, g c
3	knaggs, j
3	halpenny, j
3	suttie, i d
3	smith, e t
3	feiling, a
3	zentmayer, w
3	topley, w w
3	jones, d f
3	pritchard, e
3	felton, l d
3	horgan, j b
3	pernet, g
3	decourcy, j l
3	mccartney, j e
3	bloomfield, a l
3	flexner, s
3	nicholls, a g
3	symonds, c p
3	bovie, w t
3	palmer, a c
3	piersall, c e
3	reddish, g f
3	hartwell, g a
3	dresden, a
3	hannay, m g
3	connell, s j
3	currie, a n
2	halton, j
2	thompson, l r
2	munro, d
2	metcalf, c l
2	brownlee, j
2	belling, j
2	wyllie, w g
2	pope, w j
2	lewis, p a
2	hanson, f b
2	shaughnessy, h j
2	dowling, g h
2	gamgee, l
2	pentecost, r s
2	hale, g e
2	davis, a
2	turner, g g
2	andrewes, c h
2	darwin, l
2	dietz, h f
2	cassidy, m
2	nisson, p s
2	hattie, w h
2	hill, l
2	rowlands, r p
2	rochat, g f
2	walker, a l
2	gilhespy, f b
2	broderick, f w
2	gray, h m
2	pringle, g l
2	smith, j
2	truesdale, p e
2	meeker, w r
2	benedict, c g
2	schlesinger, m j
2	wakeley, c p
2	derby, g s
2	stopford, j s
2	martin, c j
2	chick, h
2	jackson, c m
2	lewis, t
2	burden, v g
2	adair, f e
2	macbride, e w
2	gibson, t e
2	zobel, a j
2	cowdry, e v
2	thompson, r
2	turrell, w j
2	cox, a
2	james, w w
2	cleminson, f j
2	strangeways, t s
2	fothergill, w e
2	gabriel, w b
2	keay, c
2	gardner, w a
2	ray, g b
2	eastwood, a
2	smith, w
2	montgomery, d w
2	lister, w
2	pryde, j
2	gray, h t
2	weiser, h b
2	ochsner, a j
2	holth, s
2	petrie, g f
2	gallagher, p h
2	vlasto, m
2	fischer, a
2	oliver, t
2	gericke, w f
