Date: 03/05/2015	 Scientist Search 1.7
Data Retrieval Mode: medline, reflects file type source of PubMed data in following analysis.
Publication Type Selection: journal article, Affiliation Restriction: none, reflects search constraints of PubMed data in following analysis.
Keyword Mode Selection: none

Year: 1896	Pubs: 1858	IDs: 1858	CSV Author Pubs: 0	Medline Author Pubs: 1193
		PM Max: 1	PM Num: 1	CSV Max: 0	CSV Num: 0	Medline Max: 4	Medline Num: 4
		CSV IDs: 0	Medline IDs: 1858

Publication PubMed Count:<1858>
CSV Publications with Authors:<0>
Medline Publications with Authors:<1193>
Retracted Publications:<0>
Retractions Made:<0>
CSV Unique authors:<0>
Medline Unique authors:<857>
Medline Unique short authors:<855>
Medline Unique short first authors:<807>
CSV Duplicate authors:<0>
Medline Duplicate authors:<196>
Medline Duplicate short authors:<198>
CSV Duplicate author publications:<0>
Medline Duplicate author publications:<602>
CSV Authors per publication:<0>
CSV APP max:<0>
CSV APP min:<0>
CSV APP var:<0>
Medline Authors per publication:<1.05867560771165>
Medline APP max:<6>
Medline APP min:<1>
Medline APP var:<0.0753501319867413>
Unique Journal Titles:<13>
Unique Short Journal Titles:<13>
Medline Publications per unique author:	2.16802800466744
Medline Duplicate publications per duplicate author:	3.07142857142857
Medline Duplicate authors / Unique authors	0.228704784130688


*****JOURNAL PUB FREQUENCIES*****
773	british medical journal
611	science (new york, ny)
131	annals of surgery
61	public health papers and reports
58	journal of anatomy and physiology
53	public health reports
44	transactions of the american ophthalmological society
44	the journal of physiology
32	the journal of experimental medicine
24	transactions of the american climatological association for the year  american
14	medico-chirurgical transactions
11	journal boston society of medical sciences
2	journal massachusetts association of boards of health

*****KEYWORDS LIST*****

*****KEYWORDS FREQUENCIES*****
<>

*****CSV PUBMED AUTHOR FREQUENCIES*****

*****CSV PUBMED PUB FREQUENCIES*****
<>

*****MEDLINE PUBMED AUTHOR FREQUENCIES*****
42	brinton, d g
23	j, h
22	davis, w m
13	ward, r d
12	h, j l
7	goode, g b
7	powell, j w
6	cattell, j m
6	manson, p
6	gill, t
5	macdermott, w r
5	brooks, w k
5	fiske, t s
5	hepburn, d
5	f, c l
5	baldwin, j m
5	warbasse, j p
5	pavy, f w
5	halsted, g b
4	c, j m
4	stanley, h m
4	duckworth, d
4	oliver, c a
4	langley, j n
4	mills, w
4	boas, f
4	mason, o t
4	cope, e d
4	allen, j a
4	lucas, f a
4	oliver, g
3	smith, g e
3	fitz, g w
3	davis, g g
3	robson, m
3	morgan, c l
3	parker, w r
3	bailey, l h
3	frost, e b
3	flexner, s
3	martin, c f
3	gilbert, g k
3	seaton, e
3	fowke, f
3	risley, s d
3	bryce, p h
3	robinson, b
3	perkins, g w
3	keith, a
3	sheild, a m
3	mcgee, w j
3	white, j w
3	franklin, w s
3	m
3	turner, w
3	ward, r de c
3	randolph, r l
3	ballance, c a
3	godlee, r j
3	fawcett, e
3	turner, e b
3	corner, e m
3	barnes, c r
3	cheyne, w w
3	mayer, a m
3	reid, e w
2	payne, j f
2	mitchell, h
2	scripture, e w
2	harrison, r
2	souchon, e
2	williams, e h jr
2	reymond, e
2	fenwick, e h
2	paterson, d r
2	haycraft, j b
2	liceaga, e
2	macmillan, c
2	tiffany, l m
2	mathewson, g h
2	millikin, b l
2	stevens, w le c
2	pickering, j w
2	johnston, w
2	thornton, j k
2	tunnicliffe, f w
2	dixon, a f
2	harlan, g c
2	kirk, r
2	meltzer, s j
2	higgins, h
2	holden, e s
2	morsell, w f
2	hershey, o h
2	murray, g r
2	poulton, e b
2	m, c h
2	strieby, w
2	anderson, h k
2	maclennan, w
2	williamson, r t
2	smith, n
2	treves, f
2	thorne, w b
2	sternberg, g m
2	cripps, h
2	ridley, j b
2	merritt, e
2	venable, f p
2	power, d
2	hewlett, r t
2	bigelow, f h
2	fothergill, w e
2	chaney, l w jr
2	hutchison, r
2	young, j
2	schafer, e a
2	thurston, r h
2	green, j
2	gotch, f
2	abbott, f c
2	lawrence, r r
2	keen, w w
2	ewart, w
2	williams, c h
2	newsholme, a
2	pupin, m i
2	earle, c
2	koller, c
2	gage, s h
2	gowers, w r
2	minot, c s
2	haldane, j
2	mcweeney, e j
2	donald, a
2	haworth, e
2	abbott, a c
2	osborn, h f
2	murrell, w
2	magill, w s
2	fulton, r l
2	marsh, o c
2	langley, s p
2	wilder, b g
2	dwight, t
2	rees, j k
2	marvin, f o
2	goodspeed, a w
2	locke, f s
2	jastrow, j
2	smith, e b
2	lane, w a
2	thin, g
2	emerson, b k
2	salisbury, r d
2	atkinson, g f
2	bumpus, h c
2	webber, h j
2	shufeldt, r w
2	parsons, f g
2	auld, a g
2	remsen, i
2	white, a h
2	fiaschi, t
2	harshberger, j w
2	kelynack, t n
2	sutton, j b
2	moore, b
2	manners-smith, t
2	trelease, w
2	porter, w t
2	lilienthal, h
2	lewis, w b
2	macdougal, d t
2	lockwood, c b
2	bolton, b m
2	dall, w h
2	cajori, f
2	noyes, w a
2	lazarus-barlow, w s
2	richardson, m h
2	de forest, h p
2	adam, j
2	simonds, f w
2	barus, c
2	monjaras, j e
2	andrews, j a
2	marsh, h
2	white, w h
2	mendenhall, t c
2	pilcher, l s
2	binnie, j f
2	copeman, s m
2	mckerron, r g
2	howard, l o
2	keyes, c r
1	h, w
1	peckham, a w
1	whitelaw, t
1	foster, m
1	kipp, c j
1	carlier, e w
1	thompson, j h
1	starling, e h
1	hotchkiss, l w
1	pease, h d
1	colburn, r t
1	dawbarn, r h
1	alvarez, m
1	emerson, j b
1	baber, e c
1	cabot, a t
1	daniel, j
1	turner, j
1	morse, e s
1	rhoads, s n
1	m, m
1	smith, e a
1	fonvielle, w d
1	penrose, c b
1	smith, j a
1	hollick, a
1	bauer, l a
1	dolley, c s
1	butcher, a h
1	russell, w
1	abercrombie, p h
1	harris, t
1	lediard, h a
1	d'estrees, d
1	whitman, r
1	grant, h h
1	hewitt, f
1	miller, w j
1	doran, a
1	bell, w
1	waite, f c
1	babcock, r h
1	clarke, w b
1	walker, j b
1	mcvail, j c
1	clark, g p
1	littlewood, h
1	rice, w n
1	mcnaught, j g
1	mendel, l b
1	robinson, h b
1	dewey, j
1	hubbell, a a
1	cockerell, t d
1	bostwick, a e
1	beadles, c f
1	brannan, j w
1	griffith, w s
1	jones, a t
1	wadsworth, m e
1	lindenkohl, a
1	gwyer, f w
1	plowright, c b
1	davie, j c
1	bolton, h c
1	wells, t s
1	wade, h t
1	lyman, c b
1	hendley, h
1	thomson, j j
1	garrod, a b
1	schrader, f c
1	king, w g
1	ogilvie, g
1	james, w
1	ortmann, a e
1	sheild, m
1	storer, f h
1	brayn, p j
1	bidwell, l a
1	trevelyan, e f
1	lee, b
1	hansell, h f
1	wiechmann, f g
1	taylor, j w
1	gibson, w m
1	wherry, g
1	meakin, h b
1	samways, d w
1	goodwyn, h
1	williams, a w
1	johnston, f
1	robb, w l
1	stoker, g
1	rushmore, j d
1	munro, j c
1	saw, f a
1	clarke, f w
1	hartzell, j c jr
1	hartley, f
1	eubank, m d
1	steele, e a
1	o'conor, j
1	chacon, a
1	macfarlane, a
1	buller, f
1	gihon, a l
1	beach, h h
1	pickering, e c
1	plummer, s c
1	fowler, g r
1	miller, g s jr
1	stockman, r
1	maynard, f p
1	matthews, w
1	suiter, a w
1	macphail, a
1	van arsdale, w w
1	jennings, c e
1	beyer, h g
1	horlbeck, h b
1	nolan, h
1	knowlton, f h
1	humphry, g m
1	mackey, e
1	howes, g b
1	edmunds, a
1	birmingham, a
1	greenwood, m
1	cheney, f e
1	schachner, a
1	bell, a g
1	swayne, j g
1	coleman, p
1	thornton, b
1	coghill, j g
1	frothingham, langdon
1	telford-smith, t
1	moore, j e
1	eve, f c
1	chase, h l
1	morton, t h
1	russell, j s
1	bessey, c e
1	sattler, r
1	hart, d b
1	muldson, j
1	drury, h c
1	fairweather, d
1	horne, r m
1	cautley, e
1	elsner, h l
1	schwinn, j
1	abel, j j
1	hektoen, l
1	blacker, g f
1	kellicott, d s
1	park, w h
1	kemp, j f
1	o, h f
1	rennie, s j
1	jordan, d s
1	nicolls, w
1	knapp, h
1	irwell, l
1	west, g m
1	stratton, s w
1	mitchell, s w
1	roberts, j b
1	mcburney, c
1	lawrie, e
1	mahon, r b
1	fraser, j h
1	sedgwick, w
1	brinton, d c
1	symington, j
1	barbour, e h
