Date: 03/05/2015	 Scientist Search 1.7
Data Retrieval Mode: medline, reflects file type source of PubMed data in following analysis.
Publication Type Selection: journal article, Affiliation Restriction: none, reflects search constraints of PubMed data in following analysis.
Keyword Mode Selection: none

Year: 1917	Pubs: 2943	IDs: 2943	CSV Author Pubs: 0	Medline Author Pubs: 2307
		PM Max: 1	PM Num: 1	CSV Max: 0	CSV Num: 0	Medline Max: 6	Medline Num: 6
		CSV IDs: 0	Medline IDs: 2943

Publication PubMed Count:<2943>
CSV Publications with Authors:<0>
Medline Publications with Authors:<2307>
Retracted Publications:<0>
Retractions Made:<0>
CSV Unique authors:<0>
Medline Unique authors:<1985>
Medline Unique short authors:<1985>
Medline Unique short first authors:<1675>
CSV Duplicate authors:<0>
Medline Duplicate authors:<436>
Medline Duplicate short authors:<436>
CSV Duplicate author publications:<0>
Medline Duplicate author publications:<1210>
CSV Authors per publication:<0>
CSV APP max:<0>
CSV APP min:<0>
CSV APP var:<0>
Medline Authors per publication:<1.19592544429996>
Medline APP max:<15>
Medline APP min:<1>
Medline APP var:<0.408947420535972>
Unique Journal Titles:<23>
Unique Short Journal Titles:<23>
Medline Publications per unique author:	1.48261964735516
Medline Duplicate publications per duplicate author:	2.77522935779817
Medline Duplicate authors / Unique authors	0.219647355163728


*****JOURNAL PUB FREQUENCIES*****
452	british medical journal
443	proceedings of the royal society of medicine
393	science (new york, ny)
286	california state journal of medicine
197	american journal of public health (new york, ny : 1912)
186	annals of surgery
169	proceedings of the national academy of sciences of the united states of america
152	canadian medical association journal
119	the journal of experimental medicine
90	the british journal of ophthalmology
72	the journal of medical research
68	journal of the national medical association
53	public health reports
44	journal of bacteriology
30	the journal of physiology
30	the biochemical journal
27	transactions of the american ophthalmological society
25	the eugenics review
25	journal of anatomy
23	bulletin of the medical library association
23	genetics
21	the journal of hygiene
15	transactions of the american climatological and clinical association american

*****KEYWORDS LIST*****

*****KEYWORDS FREQUENCIES*****
<>

*****CSV PUBMED AUTHOR FREQUENCIES*****

*****CSV PUBMED PUB FREQUENCIES*****
<>

*****MEDLINE PUBMED AUTHOR FREQUENCIES*****
28	weber, f p
13	walker, i c
13	moore, i
13	pernet, g
10	barus, c
8	wilson, e b
8	mollison, w m
8	thomson, s
8	little, e g
7	harris, j a
7	loeb, j
7	amoss, h l
7	sequeira, j h
7	bunch, j l
7	shaw, h b
6	dore, s e
6	mott, f w
6	dakin, h d
6	lockyer, c
6	kidd, f s
6	taylor, f e
5	eisendrath, d n
5	adkinson, j
5	homer, a
5	cockayne, e a
5	noguchi, h
5	pritchard, e
5	shapley, h
5	cameron, h c
5	sibley, w k
5	opie, e l
5	evans, w a
5	loeb, l
4	krumwiede, c
4	faber, h k
4	gray, h m
4	mckenzie, d
4	mcclendon, j f
4	ozaki, y
4	martin, c j
4	lawson, a
4	whale, h l
4	noyes, w a
4	pilcher, l s
4	hull, a j
4	rous, p
4	castellani, a
4	seares, f h
4	drummond, j c
4	davis, w m
4	whipple, g h
4	akatsu, s
4	bull, c g
4	keith, a
4	dunham, e k
4	henry, h
4	scott, s
4	davis, e d
4	buchanan, r e
4	buzzard, e f
4	mayer, a g
4	elliot, r h
4	fraser, j s
4	loughlin, d
4	flexner, s
4	paton, l
4	mckinstry, w h
4	buist, h m
4	hovell, t m
3	macnider, w d
3	osborn, h f
3	brown, a
3	kohn, l a
3	ito, h
3	hadley, p b
3	mellon, r r
3	burge, w e
3	perkins, p b
3	lindsay, l m
3	parkinson, j p
3	krotoszyner, m
3	cumberbatch, e p
3	blakeslee, a f
3	macdougal, d t
3	clarke, j m
3	shattock, s g
3	pearl, r
3	lakin, c e
3	horowitz, m p
3	pembrey, m s
3	batten, f e
3	dudgeon, l s
3	pope, s
3	nicoll, w
3	rankin, w
3	cole, r
3	jordan, h e
3	langley, j n
3	marshall, g
3	robertson, o h
3	cautley, e
3	lubs, h a
3	davenport, c b
3	parker, g h
3	kligler, i j
3	tilley, h
3	sherman, h m
3	spoehr, h a
3	turner, w a
3	blake, f g
3	morley, e w
3	fleming, n b
3	mayo-robson, a w
3	bond, c j
3	richards, t w
3	stowers, j h
3	thompson, w h
3	macleod, j m
3	hill, r
3	dawson, g w
3	klotz, o
3	adami, j g
3	sharpe, j s
3	okuda, k
3	woodward, r s
3	conn, h j
3	clark, w m
3	rolleston, j d
3	kennelly, a e
3	mackenzie, w c
3	winslow, c e
3	scott, j r
3	carrel, a
3	brooks, c f
3	chaplin, a
3	starr, f n
3	mees, c e
3	adamson, h g
3	keyes, c
3	traquair, h m
3	kolmer, j a
3	spencer, h r
3	robertson, t b
3	pearce, r m
3	davis, b m
3	france, j j
3	conklin, e g
3	pappenheimer, a m
3	rose, f a
3	berry, e w
3	browne, w w
3	harkins, w d
3	cattell, j m
3	keen, w w
2	singer, c
2	osterhout, w j
2	eloesser, l
2	webster, d l
2	coulter, j m
2	jones, f s
2	hesselberg, c
2	nagayo, m
2	roth, p b
2	geiger, j c
2	bruce, d
2	morris, m
2	feldman, i
2	bankart, a s
2	buckmaster, g a
2	humphreys, w j
2	lindhard, j
2	redfield, a c
2	gundrum, f f
2	nutting, p g
2	thalhimer, w
2	williams, f e
2	gulbransen, r
2	lederer, a
2	hann, r g
2	albaugh, r p
2	mcphedran, a
2	geisinger, j f
2	sturtevant, a h
2	mooers, c a
2	lyon, m w jr
2	robertson, m
2	mccullough, j w
2	goodpasture, e w
2	roy, d
2	millikan, r a
2	moore, b
2	saville, t
2	smith, e f
2	hooker, m o
2	brown, p k
2	morgan, t h
2	baldwin, a
2	dunn, p
2	campbell, w w
2	porter, a e
2	free, e e
2	smith, s a
2	langmuir, i
2	von eberts, e m
2	erickson, r j
2	offord, j
2	matthew, w d
2	krogh, a
2	smith, h m
2	wolf, c g
2	roman, c v
2	turner, g g
2	miller, g a
2	blanchard, a h
2	hedrich, a w
2	hartley, j n
2	darwin, l
2	guthrie, d
2	crosland, g w
2	cooke, j v
2	armstrong, d b
2	mayo, c h
2	bolton, c
2	doane, r w
2	cole, f n
2	hort, e c
2	fleisher, m s
2	ido, y
2	mitamura, t
2	mcnee, j w
2	tod, h
2	barkan, h
2	warner, d e
2	davies, d l
2	fraser, j
2	hill, h w
2	stieglitz, j
2	green, h m
2	vaughan, g t
2	weiss, h
2	friel, a r
2	russell, b
2	fisher, j h
2	wheeler, w m
2	wiggers, c j
2	munday, r c
2	guthrie, l
2	greenwood, m
2	fox, r f
2	armstrong, m
2	campbell, d h
2	pritchett, i w
2	northrop, j h
2	daily, u g
2	cropper, j w
2	turrell, w j
2	levine, m
2	harden, a
2	bridges, c b
2	williamson, r t
2	fowler, w f
2	harrison, l w
2	koser, s a
2	bartlett, w
2	sedgwick, w t
2	stewart, g n
2	belben, f
2	campiche, p s
2	drummond, h
2	murphy, r c
2	kuno, y
2	eastman, c r
2	mcdonagh, j e
2	neuhof, h
2	kirkpatrick, w f
2	imamura, a
2	strong, r m
2	wright, j h
2	shaw, w f
2	sweet, j e
2	fewkes, j w
2	whiteford, c h
2	bardsley, p c
2	harkness, r r
2	barnes, j a
2	halliburton, w d
2	mcadie, a
2	ruediger, g f
2	miyagawa, y
2	tenbroeck, c
2	perrine, c d
2	white, c f
2	baumberger, j p
2	robertson, l b
2	ransom, f
2	haas, a r
2	newcomer, h s
2	iddings, j p
2	jones, d f
2	janeway, t c
2	allard, h a
2	maccormac, h
2	ormond, a w
2	hastings, s
2	auer, j
2	wishart, d j
2	wingrave, w
2	goodspeed, a w
2	hitzrot, j m
2	kunz, g f
2	taylor, e
2	wells, h g
2	rudolf, r d
2	boyd, m f
2	turner, j g
2	hopkins, c g
2	rosenow, e c
2	auld, a g
2	wilson, j g
2	rowlett, a e
2	sherrington, c s
2	gudger, e w
2	soiland, a
2	row, r w
2	smith, l
2	popenoe, p
2	kaneko, r
2	john, c e
2	bartlett, c j
2	johnson, t b
2	mackeith, j
2	goodrich, h p
2	duckworth, w l
2	birkhoff, g d
2	rolleston, h d
2	minot, g r
2	kojima, m
2	fischer, m h
2	lusk, g
2	mann, f c
2	hrdlicka, a
2	harvey, s c
2	rand, c w
2	warren, h c
2	thomson, e
2	erlanger, j
2	patterson, n
2	reynolds, e s
2	thomas, t t
2	langmead, f
2	fred, e b
2	russell, h n
2	archibald, r a
2	wallace, c
2	whipham, t r
2	hammett, f s
