Date: 03/05/2015	 Scientist Search 1.7
Data Retrieval Mode: medline, reflects file type source of PubMed data in following analysis.
Publication Type Selection: journal article, Affiliation Restriction: none, reflects search constraints of PubMed data in following analysis.
Keyword Mode Selection: none

Year: 1942	Pubs: 4311	IDs: 4311	CSV Author Pubs: 0	Medline Author Pubs: 3350
		PM Max: 1	PM Num: 1	CSV Max: 0	CSV Num: 0	Medline Max: 9	Medline Num: 9
		CSV IDs: 0	Medline IDs: 4311

Publication PubMed Count:<4311>
CSV Publications with Authors:<0>
Medline Publications with Authors:<3350>
Retracted Publications:<0>
Retractions Made:<0>
CSV Unique authors:<0>
Medline Unique authors:<4029>
Medline Unique short authors:<4029>
Medline Unique short first authors:<2758>
CSV Duplicate authors:<0>
Medline Duplicate authors:<685>
Medline Duplicate short authors:<685>
CSV Duplicate author publications:<0>
Medline Duplicate author publications:<1714>
CSV Authors per publication:<0>
CSV APP max:<0>
CSV APP min:<0>
CSV APP var:<0>
Medline Authors per publication:<1.50985074626866>
Medline APP max:<15>
Medline APP min:<1>
Medline APP var:<0.780052216529298>
Unique Journal Titles:<40>
Unique Short Journal Titles:<40>
Medline Publications per unique author:	1.06999255398362
Medline Duplicate publications per duplicate author:	2.5021897810219
Medline Duplicate authors / Unique authors	0.170017374038223


*****JOURNAL PUB FREQUENCIES*****
980	science (new york, ny)
579	british medical journal
342	canadian medical association journal
300	california and western medicine
216	annals of surgery
175	american journal of public health and the nation's health
157	proceedings of the royal society of medicine
126	journal of bacteriology
115	proceedings of the national academy of sciences of the united states of america
105	the biochemical journal
99	the journal of experimental medicine
87	the journal of clinical investigation
87	canadian journal of comparative medicine and veterinary science
77	the british journal of ophthalmology
74	plant physiology
70	journal of the national medical association
67	the american journal of pathology
65	the journal of general physiology
56	the yale journal of biology and medicine
54	bulletin of the medical library association
54	bulletin of the new york academy of medicine
52	public health reports
45	postgraduate medical journal
44	the journal of hygiene
41	the journal of physiology
39	genetics
34	journal of anatomy
32	transactions of the american ophthalmological society
28	archives of disease in childhood
23	british heart journal
20	the eugenics review
15	the british journal of venereal diseases
14	journal of neurology and psychiatry
10	annals of the rheumatic diseases
10	the ulster medical journal
7	progressi di terapia
6	bacteriological reviews
3	journal of the american medical association
2	the puerto rico journal of public health and tropical medicine
1	archives of physical therapy

*****KEYWORDS LIST*****

*****KEYWORDS FREQUENCIES*****
<>

*****CSV PUBMED AUTHOR FREQUENCIES*****

*****CSV PUBMED PUB FREQUENCIES*****
<>

*****MEDLINE PUBMED AUTHOR FREQUENCIES*****
15	peart, h f
15	manwaring, w h
13	pinkham, c b
8	lentz, j
8	armstrong, d b
8	mcintosh, r a
7	miller, g a
7	wilson, e b
7	rhoads, c p
7	semon, h c
6	sevag, m g
6	heath, l m
6	deller, f c
6	duckworth, g
6	smadel, j e
6	mccance, r a
6	earle, d p
6	anderson, t f
6	kasner, e
5	watson, e a
5	ford, r
5	moore, r l
5	whipple, g h
5	vogler, k g
5	roxburgh, a c
5	pappenheimer, a m
5	stout, a p
5	seashore, c e
5	campbell, d h
5	green, c a
5	gwatkin, r
5	robbins, w j
5	levine, m
5	widdowson, e m
5	heidelberger, m
5	shepard, w p
5	shelburne, m
4	klein, m
4	sanders, m
4	leake, c d
4	best, c h
4	lee, w e
4	hamilton, w j
4	gale, e f
4	stanier, r y
4	regan, l j
4	liebow, a a
4	wilson, g s
4	burkholder, p r
4	rantz, l a
4	ebbs, j h
4	zscheile, f p
4	hiscock, i v
4	jamieson, h c
4	jungeblut, c w
4	bale, w f
4	manson-bahr, p h
4	gowen, j w
4	dobzhansky, t
4	williams, r j
4	umbreit, w w
4	mills, e s
4	shapley, h
4	elman, r
3	ramsey, g h
3	sorsby, a
3	kon, s k
3	krebs, h a
3	kinsey, v e
3	mann, i
3	titmuss, r m
3	casey, a e
3	friedman, m
3	batchelor, j s
3	foley, e j
3	vandiver, h s
3	patek, a j
3	lamanna, c
3	reed, l j
3	barcroft, j
3	harvey, s c
3	sax, k
3	kidd, j g
3	white, p r
3	wilson, p w
3	lyttle, j d
3	houssay, b a
3	turner, e l
3	hahn, p f
3	coward, k h
3	mudd, s
3	durrell, w b
3	sadusk, j f
3	lochhead, a g
3	vaughn, r h
3	everett, a d
3	thomson, s
3	zwicky, f
3	scarlett, e p
3	moynihan, i w
3	lacroix, j r
3	smillie, w g
3	sherman, j m
3	griggs, r f
3	williams, h
3	swann, w f
3	macdermot, h e
3	instone, s
3	moore, d h
3	geiger, a j
3	conn, h j
3	de cicco, j
3	forman, l
3	abels, j c
3	silverman, a
3	moulton, f r
3	williams, w c
3	du vigneaud, v
3	hoagland, c l
3	phaff, h j
3	birkinshaw, j h
3	eichna, l w
3	bernheim, f
3	murray, m r
3	glazebrook, a j
3	broyer, t c
3	seiler, h e
3	buerger, m j
3	hoff, h e
3	goodpasture, e w
3	plummer, p j
3	zechmeister, l
3	gorham, a t
3	friedewald, w f
3	dodd, b e
3	neumann, c
3	ackman, d
3	mollison, p l
3	cockerell, t d
3	moore, t
3	townsend, s r
3	wright, a d
3	rolleston, j d
3	fulton, j f
3	krahl, m e
3	worcester, j
3	freudenthal, w
3	steeg, k v
3	johnson, f h
3	tagnon, h j
3	payne-gaposchkin, c
3	hirst, g k
3	rivers, t m
3	henry, k m
3	leigh, m d
3	adamson, j d
3	kaufmann, b p
3	pauling, l
3	taylor, f h
3	cantor, m m
3	schroeder, h a
3	klaber, r
3	weil, p g
3	altemeier, w a
3	anderson, k
3	mayer, c f
3	craige, b
3	boorman, k e
3	beattie, j
3	savage, w
3	smith, e j
3	mrak, e m
3	white, p d
3	brown, j b
3	sebrell, w h
3	bacharach, a l
3	gaffron, h
3	landsteiner, k
3	warren, s
3	chornock, f w
3	kabat, e a
3	taylor, j
3	marshall, j
3	stahly, g l
3	loofbourow, j r
3	victor, j
3	marshak, a
3	montagu, m f
3	holmes, h n
2	lisco, h
2	clarke, r
2	braunauer, r
2	rhoades, m m
2	mchargue, j s
2	loosli, c g
2	williams, r r
2	abbot, c g
2	witts, l j
2	wald, g
2	hoagland, h
2	shorr, e
2	lichtenstein, l
2	harvey, e n
2	goldblatt, h
2	race, r r
2	moyer, c a
2	ruben, s
2	andrus, w d
2	river, l p
2	pidgeon, b e
2	eyster, h c
2	korff, f a
2	bueding, e
2	jaffe, h l
2	hadfield, j a
2	smyth, f s
2	fleming, j a
2	faust, e c
2	epps, h m
2	cournand, a
2	braun, a c
2	ehrich, w e
2	landis, e m
2	botterell, e h
2	wynd, f l
2	savin, l h
2	sabin, a b
2	rosenthal, a
2	holloway, j w
2	stein, h j
2	barclay, a e
2	beck, c s
2	neustatter, w l
2	evans, p
2	marston, a d
2	smetana, h
2	eisenschiml, o
2	collard, h b
2	stuart, l s
2	lapp, a d
2	frisch, a w
2	lerosen, a l
2	mcveigh, i
2	smith, e l
2	pinkerton, h
2	mcdowell, f
2	bunney, w e
2	blaschko, h
2	haines, r w
2	koppanyi, t
2	zobell, c e
2	peppler, h j
2	macrae, t f
2	wells, a q
2	peters, r j
2	burch, g e
2	singleton, a o
2	hinton, j w
2	mason, j b
2	emerson, h
2	routley, t c
2	welsh, c a
2	blum, h f
2	robson, j m
2	parker, g
2	grant, c w
2	kress, g h
2	knaysi, g
2	lambrinudi, c
2	davidson, m
2	moyer, l s
2	vaughan, j m
2	winternitz, m c
2	beecher, h k
2	mawson, c a
2	bunting, m i
2	wilson, j b
2	fulton, f
2	mitchell, j h
2	keston, a s
2	bell, m
2	minckler, j
2	minski, l
2	waksman, s a
2	mcmichael, j
2	deadman, w j
2	eaton, m d
2	dean, j
2	smith, p k
2	pollak, l
2	guttmann, l
2	seegers, w h
2	russell, j
2	jewett, f b
2	cummins, j a
2	hobbs, b c
2	balfour, w m
2	smith, d j
2	simms, h s
2	trask, j d
2	merrill, e d
2	spencer, e l
2	king, j e
2	bateman, h
2	laufer, s t
2	beebe, g w
2	tisdall, f f
2	murray, e
2	shlaer, s
2	amoroso, e c
2	croxatto, h
2	violante, a
2	goldbloom, a
2	parr, l w
2	upton, j r
2	johnson, c m
2	kerr, j m
2	reifenstein, g h
2	kalz, f
2	talbott, j h
2	phillips, h
2	hille, e
2	hewer, c l
2	davidson, c s
2	raistrick, h
2	seegal, d
2	megaw, j w
2	kemp, f h
2	halverson, w l
2	mirsky, i a
