Date: 03/05/2015	 Scientist Search 1.7
Data Retrieval Mode: medline, reflects file type source of PubMed data in following analysis.
Publication Type Selection: journal article, Affiliation Restriction: none, reflects search constraints of PubMed data in following analysis.
Keyword Mode Selection: none

Year: 1949	Pubs: 62512	IDs: 62512	CSV Author Pubs: 0	Medline Author Pubs: 61336
		PM Max: 1	PM Num: 1	CSV Max: 0	CSV Num: 0	Medline Max: 126	Medline Num: 126
		CSV IDs: 0	Medline IDs: 62512

Publication PubMed Count:<62512>
CSV Publications with Authors:<0>
Medline Publications with Authors:<61336>
Retracted Publications:<0>
Retractions Made:<0>
CSV Unique authors:<0>
Medline Unique authors:<54520>
Medline Unique short authors:<54406>
Medline Unique short first authors:<39879>
CSV Duplicate authors:<0>
Medline Duplicate authors:<16843>
Medline Duplicate short authors:<16872>
CSV Duplicate author publications:<0>
Medline Duplicate author publications:<52012>
CSV Authors per publication:<0>
CSV APP max:<0>
CSV APP min:<0>
CSV APP var:<0>
Medline Authors per publication:<1.46225707577931>
Medline APP max:<14>
Medline APP min:<1>
Medline APP var:<0.464142186162166>
Unique Journal Titles:<1426>
Unique Short Journal Titles:<1432>
Medline Publications per unique author:	1.1465884079237
Medline Duplicate publications per duplicate author:	3.08804844742623
Medline Duplicate authors / Unique authors	0.308932501834189


*****JOURNAL PUB FREQUENCIES*****
928	nature
834	british medical journal
752	proceedings of the society for experimental biology and medicine society for
671	science (new york, ny)
618	the journal of biological chemistry
566	la semaine des hopitaux : organe fonde par l'association d'enseignement medical
508	nordisk medicin
503	lancet
490	wiener klinische wochenschrift
449	la presse medicale
406	the biochemical journal
406	journal of the american medical association
383	schweizerische medizinische wochenschrift
377	the medical journal of australia
375	el dia medico
363	nederlands tijdschrift voor geneeskunde
363	minerva medica
360	the new england journal of medicine
353	new york state journal of medicine
334	canadian medical association journal
326	the journal of physiology
324	prensa medica argentina
300	archives of biochemistry
300	comptes rendus hebdomadaires des seances de l'academie des sciences
289	lyon medical
286	american journal of obstetrics and gynecology
285	proceedings of the royal society of medicine
281	american journal of ophthalmology
279	the journal of urology
271	american journal of surgery
269	the journal of clinical investigation
267	american journal of public health and the nation's health
265	journal of bacteriology
265	praxis
263	archives of dermatology and syphilology
263	the american journal of physiology
252	annals of surgery
246	california medicine
234	bulletins et memoires de la societe medicale des hopitaux de paris
229	the american journal of medicine
219	the medical press
212	casopis lekaru ceskych
209	surgery
202	southern medical journal
200	the journal of pediatrics
198	wiener medizinische wochenschrift (1946)
193	the journal of laboratory and clinical medicine
192	archives of surgery
192	journal of the american pharmaceutical association american pharmaceutical
192	the american journal of the medical sciences
188	experientia
187	surgery, gynecology & obstetrics
185	annals of internal medicine
185	journal of the american chemical society
184	klinische medizin; osterreichische zeitschrift fur wissenschaftliche und
183	la semana medica
182	the journal of pharmacology and experimental therapeutics
179	the practitioner
175	dermatologica
174	boletines y trabajos / academia argentina de cirugia academia argentina de
171	ophthalmologica journal international d'ophtalmologie international journal of
169	paris medical
167	bruxelles medical
167	der krebsarzt
166	gastroenterology
166	the american journal of roentgenology and radium therapy
166	journal - michigan state medical society
165	american journal of clinical pathology
164	pediatrics
164	l'union medicale du canada
164	archives of otolaryngology
162	the american journal of psychiatry
161	concours medical
158	journal de medecine de lyon
156	helvetica chimica acta
154	radiology
153	american practitioner and digest of treatment
148	maroc medical
148	american heart journal
146	ugeskrift for laeger
146	archives of ophthalmology
146	oral surgery, oral medicine, and oral pathology
145	the urologic and cutaneous review
145	endocrinology
142	diseases of the chest
142	gazette medicale de france
142	journal of the american dental association (1939)
141	archives of neurology and psychiatry
139	the surgical clinics of north america
139	medicina
137	acta medica scandinavica
137	bulletin of the us army medical department united states army medical
136	united states naval medical bulletin
136	american review of tuberculosis
136	military surgeon
134	american journal of diseases of children (1911)
133	the antiseptic
133	journal de radiologie, d'electrologie & archives d'electricite medicale
133	journal des praticiens; revue generale de clinique et de therapeutique
132	public health reports
130	hospital (rio de janeiro, brazil)
130	il policlinico sezione pratica
130	journal de medecine de bordeaux et du sud-ouest
129	the journal of bone and joint surgery american volume
129	proceedings of the national academy of sciences of the united states of america
129	revista de la asociacion medica argentina
128	the journal of nutrition
128	the review of scientific instruments
127	boletines y trabajos - sociedad argentina de cirujanos
127	the journal of the international college of surgeons
126	bulletin de l'academie nationale de medecine
124	journal of immunology (baltimore, md : 1950)
124	revista clinica espanola
123	archives d'ophtalmologie et revue generale d'ophtalmologie
123	revue medicale de la suisse romande
122	the medical clinics of north america
122	archives des maladies de l'appareil digestif et des maladies de la nutrition
121	the journal of clinical endocrinology and metabolism
119	revue du rhumatisme et des maladies osteo-articulaires
118	british dental journal
117	the new orleans medical and surgical journal
117	archives internationales de pharmacodynamie et de therapie
116	journal of anatomy
116	the annals of otology, rhinology, and laryngology
115	postgraduate medicine
115	archives of pathology
115	blood
111	proceedings of the staff meetings mayo clinic
111	cancer research
110	revista paulista de medicina
110	industrial medicine & surgery
109	canadian journal of research
109	the journal of parasitology
108	minnesota medicine
108	the journal of obstetrics and gynaecology of the british empire
107	the journal of investigative dermatology
107	current science
107	annals of allergy
106	minerva chirurgica
104	the illinois medical journal
103	annals of western medicine and surgery
103	the british journal of ophthalmology
102	the southern surgeon
102	medizinische klinik
102	north carolina medical journal
101	south african medical journal = suid-afrikaanse tydskrif vir geneeskunde
101	medizinische monatsschrift
101	il progresso medico
100	revue d'oto-neuro-ophtalmologie
100	the british journal of surgery
100	the laryngoscope
99	acta gastro-enterologica belgica
99	journal of experimental psychology
98	lyon chirurgical
97	journal of the national cancer institute
97	la riforma medica
97	gynaecologia international monthly review of obstetrics and gynecology revue
96	the british journal of radiology
96	canadian journal of comparative medicine and veterinary science
95	belgisch tijdschrift voor geneeskunde
95	the journal of nervous and mental disease
95	revue medicale de liege
94	the journal of pharmacy and pharmacology
94	ohio medicine : journal of the ohio state medical association
93	annales paediatrici international review of pediatrics
93	the journal of experimental medicine
91	the journal of the medical society of new jersey
91	the american journal of tropical medicine and hygiene
91	revista medica de chile
90	clinica y laboratorio
90	pennsylvania medical journal (1928)
89	bulletin chicago medical society
88	virginia medical monthly
88	bulletin of the new york academy of medicine
88	bulletin medical
87	toulouse medical
87	journal of economic entomology
87	anesthesiology
87	the anatomical record
87	archives of internal medicine (chicago, ill : 1908)
87	cancer
86	journal of general microbiology
86	western journal of surgery, obstetrics, and gynecology
86	medicamenta
86	archives francaises de pediatrie
85	acta radiologica
85	rocky mountain medical journal
84	helvetica physiologica et pharmacologica acta
84	annales medico-psychologiques
82	postgraduate medical journal
81	osterreichische zeitschrift fur kinderheilkunde und kinderfursorge
81	wisconsin medical journal
80	the american journal of nursing
79	connecticut state medical journal
79	texas state journal of medicine
78	northwest medicine
78	the journal-lancet
78	archivos de la sociedad oftalmologica hispano-americana
78	the journal of the oklahoma state medical association
78	journal of the national medical association
78	revue de stomatologie
77	journal of applied physiology
77	il dermosifilografo
77	acta physiologica scandinavica
77	journal of the optical society of america
77	journal royal sanitary institute (great britain)
76	the journal of thoracic surgery
76	nucleonics
76	journal of dental research
75	le scalpel
75	transactions - american academy of ophthalmology and otolaryngology american
75	archives des maladies professionnelles de medecine du travail et de securite
75	the pharmaceutical journal
75	khirurgiia
74	ouest-medical
74	the scientific monthly
74	wiener zeitschrift fur innere medizin und ihre grenzgebiete
74	deutsche medizinische wochenschrift (1946)
74	the new zealand medical journal
73	revista brasileira de medicina
73	medical bulletin of the u s army, europe united states army, europe medical
73	klinicheskaia meditsina
73	tidsskrift for den norske laegeforening : tidsskrift for praktisk medicin, ny
73	the journal of the maine medical association
72	plant physiology
72	algerie medicale
72	annals of the royal college of surgeons of england
72	the journal of bone and joint surgery british volume
71	annals of the new york academy of sciences
71	diseases of the nervous system
71	the journal of laryngology and otology
71	schweizerische monatsschrift fur zahnheilkunde = revue mensuelle suisse
71	afrique francaise chirurgicale
71	the mississippi doctor
70	the review of gastroenterology
70	the journal of infectious diseases
70	revue medicale de nancy
69	research publications - association for research in nervous and mental disease
69	journal of neurosurgery
68	transactions of the royal society of tropical medicine and hygiene
68	le progres medical
68	the journal of mental science
68	memphis medical journal
68	american journal of syphilis, gonorrhea, and venereal diseases
68	journal des sciences medicales de lille
68	quarterly bulletin northwestern university (evanston, ill) medical school
67	vestnik oftalmologii
67	acta chirurgica scandinavica
67	medical times
