Date: 03/05/2015	 Scientist Search 1.7
Data Retrieval Mode: medline, reflects file type source of PubMed data in following analysis.
Publication Type Selection: journal article, Affiliation Restriction: none, reflects search constraints of PubMed data in following analysis.
Keyword Mode Selection: none

Year: 1939	Pubs: 5098	IDs: 5098	CSV Author Pubs: 0	Medline Author Pubs: 3979
		PM Max: 1	PM Num: 1	CSV Max: 0	CSV Num: 0	Medline Max: 11	Medline Num: 11
		CSV IDs: 0	Medline IDs: 5098

Publication PubMed Count:<5098>
CSV Publications with Authors:<0>
Medline Publications with Authors:<3979>
Retracted Publications:<0>
Retractions Made:<0>
CSV Unique authors:<0>
Medline Unique authors:<4246>
Medline Unique short authors:<4246>
Medline Unique short first authors:<3037>
CSV Duplicate authors:<0>
Medline Duplicate authors:<873>
Medline Duplicate short authors:<873>
CSV Duplicate author publications:<0>
Medline Duplicate author publications:<2311>
CSV Authors per publication:<0>
CSV APP max:<0>
CSV APP min:<0>
CSV APP var:<0>
Medline Authors per publication:<1.42849962302086>
Medline APP max:<18>
Medline APP min:<1>
Medline APP var:<0.718373496544246>
Unique Journal Titles:<40>
Unique Short Journal Titles:<40>
Medline Publications per unique author:	1.20065944418276
Medline Duplicate publications per duplicate author:	2.64719358533792
Medline Duplicate authors / Unique authors	0.205605275553462


*****JOURNAL PUB FREQUENCIES*****
867	british medical journal
604	science (new york, ny)
520	proceedings of the royal society of medicine
448	california and western medicine
365	canadian medical association journal
250	the biochemical journal
191	american journal of public health and the nation's health
179	annals of surgery
142	proceedings of the national academy of sciences of the united states of america
122	canadian journal of comparative medicine (gardenvale, quebec)
108	the journal of experimental medicine
103	the journal of physiology
97	journal of bacteriology
88	the journal of clinical investigation
83	the british journal of ophthalmology
74	plant physiology
69	journal of the national medical association
67	the yale journal of biology and medicine
62	the journal of hygiene
55	the american journal of pathology
54	journal of anatomy
52	public health reports
50	the journal of general physiology
50	bulletin of the new york academy of medicine
47	genetics
39	the eugenics review
38	postgraduate medical journal
37	the ulster medical journal
37	transactions of the american ophthalmological society
36	bulletin of the medical library association
34	archives of disease in childhood
28	british heart journal
25	journal of neurology and psychiatry
23	transactions of the american clinical and climatological association
23	annals of the rheumatic diseases
22	the british journal of venereal diseases
5	bacteriological reviews
2	the american journal of cancer
1	skandinavisches archiv fur physiologie
1	american journal of hygiene

*****KEYWORDS LIST*****

*****KEYWORDS FREQUENCIES*****
<>

*****CSV PUBMED AUTHOR FREQUENCIES*****

*****CSV PUBMED PUB FREQUENCIES*****
<>

*****MEDLINE PUBMED AUTHOR FREQUENCIES*****
22	pinkham, c b
18	a g n
14	crozier, w j
13	weber, f p
13	manwaring, w h
13	geiger, j c
13	peart, h f
12	h e m
11	miller, g a
11	wolf, e
10	mitchell, c a
8	branch, a
8	evans, h m
8	meyer, k f
7	gordon-taylor, g
7	mitchell-heggs, g b
7	goldsmith, w n
6	fulton, j f
6	morton, r a
6	moore, t
6	smadel, j e
6	bailey, h
6	mcintosh, r a
6	barcroft, j
6	ramsey, g h
6	moulton, f r
5	gordon, h
5	myers, g n
5	stewart, d
5	rhodes, a j
5	korenchevsky, v
5	osterhout, w j
5	rugg-gunn, a
5	worster-drought, c
5	mciver, p
5	illingworth, r s
5	jacques, a g
5	werkman, c h
5	hall, k
5	cass, e e
5	barsoum, g s
5	quastel, j h
5	court, d
5	walker, r v
5	mutch, j r
5	li, c h
5	miles, w r
5	lu, g d
5	greene, h s
5	sorsby, a
5	synge, r l
5	whipple, g h
5	freeman, a w
5	hershey, a d
5	cameron, t w
5	mckercher, d g
5	jefferson, g
5	raistrick, h
5	lauber, h k
5	smillie, w g
4	malpas, p
4	knight, g c
4	bennett, g a
4	atwater, r m
4	lovern, j a
4	heggs, g b
4	coggeshall, l t
4	vaughan, h f
4	fisher, a g
4	raven, r w
4	mitchell, g a
4	pritchett, h d
4	mccance, r a
4	wright, a d
4	gabriel, w b
4	turner, t b
4	strong, g f
4	shapley, h
4	morgan, c n
4	lucas, c c
4	frankau, c
4	duran-reynals, f
4	ellis, r w
4	simpson, m e
4	peterson, w h
4	anrep, g v
4	peters, r a
4	gordon, j e
4	williams, r j
4	ochoa, s
4	wormall, a
4	collip, j b
4	routley, t c
4	buxton, j d
4	wieninger, e
4	eaton, m d
4	macdonald, a e
4	whittle, c h
4	robertson, j d
4	anson, m l
4	krebs, h a
4	kunkel, p
4	dowling, g b
4	hardwick, c
4	bourne, w
4	kunitz, m
4	stead, e a
4	struve, o
4	king, l s
4	carver, j
4	mason, m f
4	shapland, c d
4	stewart, h l
4	gibson, j g
4	baker, l e
4	forman, l
4	doupe, j
4	king, e j
4	talaat, m
4	burn, j h
3	berenblum, i
3	harris, a w
3	worcester, j
3	paul, j r
3	williams, p c
3	ravdin, i s
3	woolley, d w
3	barr, c g
3	rabinowitch, i m
3	gordon, r g
3	gunn, j a
3	rivers, t m
3	trueta, j
3	ray, s c
3	bronfenbrenner, j
3	harris, l j
3	wakeley, c p
3	orstrom, a
3	barber, h w
3	wilson, e b
3	juler, f a
3	huber, h
3	davis, a
3	keutmann, e h
3	tyler, a
3	mcilwain, h
3	wyatt, j
3	allen, e
3	townsend, s r
3	baker, h
3	haagen-smit, a j
3	oxford, a e
3	craig, w m
3	bandier, e
3	sundwall, j
3	kerr, r b
3	sandifer, p h
3	harrison, l w
3	roberts, j i
3	stedman, e
3	alexander, j w
3	fletcher, e
3	browne, f j
3	bonner, j
3	katz, b
3	tiselius, a
3	landsteiner, k
3	haslewood, g a
3	carmichael, e a
3	fleming, a
3	menger, k
3	shope, r e
3	turnbull, f
3	mccollum, e v
3	polk, a d
3	anderson, e
3	meyer, a w
3	selye, h
3	coburn, a f
3	berens, c
3	kasner, e
3	critchley, m
3	kenney, j a
3	strachan, g i
3	weiss, s
3	lockhart-mummery, j p
3	klaber, r
3	semon, h c
3	kennedy, j a
3	bishop, e l
3	brouha, l
3	burlingame, r w
3	emerson, g a
3	bamber, g
3	widdowson, e m
3	yoffey, j m
3	gardner, f t
3	wilbur, d l
3	wright, s
3	leathers, w s
3	griffith, a s
3	bauer, w
3	macrae, t f
3	roxburgh, a c
3	blalock, a
3	smith, e l
3	martin, j p
3	peel, j h
3	cowell, e m
3	reed, a c
3	waksman, s a
3	carleton, a
3	williams, d
3	buddingh, g j
3	perry, c b
3	hill, l
3	davies, j h
3	murray, g
3	harvey, e n
3	chain, e
3	millin, t
3	bach, s j
3	wyllie, w g
3	wald, g
3	jackson, h
3	dukes, c e
3	elkington, j s
3	best, c h
3	spies, t d
3	cathcart, e p
3	rosenbusch, c t
3	lazarus, a s
3	mann, i
3	sinnott, e w
3	bassett, s h
3	keefer, c s
3	bowman, k m
3	work, c e
3	sabin, a b
3	dubos, r j
3	owen, e c
3	griffith, h d
3	brown, j w
3	edwards, h
3	dryerre, h w
3	burbank, r
3	johnson, t b
3	arnon, d i
3	peters, a d
3	rimington, c
3	bennett, m a
3	stewart, r m
3	carter, w e
3	de cicco, j
3	roblee, w w
3	ashley-montagu, m f
3	stern, k g
3	weinstein, p
3	hahn, p f
3	harris, d
3	sinclair, h m
3	mcclure, r d
3	field, c e
3	hall, g e
3	tarbett, r e
3	cohen, p p
2	nowak, s j
2	elliott, s d
2	white, h l
2	rose, s b
2	mallory, f b
2	freudenthal, w
2	stone, w s
2	callow, n h
2	graves, b
2	robbins, w j
2	cooper, f b
2	gustafson, f g
2	dickie, w m
2	beckwith, t d
2	young, h y
2	houston, j
2	hobbs, w h
2	wiles, p
2	el-sadr, m m
2	magee, r k
2	ballard, j f
2	notkin, l j
2	newman, h w
2	fowler, j l
2	mellanby, e
2	meleney, h e
2	thomas, r m
2	bensley, e h
2	selzer, a
2	law, f
2	young, f g
2	pratt, e f
2	rossiter, r j
2	ridley, h
2	woodward, g e
2	stovall, w d
2	mackenzie, c g
2	mcalpine, d
2	neil, j h
2	norman, c m
2	huggins, c
2	winslow, c e
2	campbell, m
2	harris, r i
2	schofield, f w
2	cullinan, e r
2	thoms, h
2	dick, r c
2	abercrombie, g f
2	lin, h a
2	bulbring, e
2	dunn, l c
2	pauling, l
2	wilson, j
2	abel, a l
2	palmer, n
2	mider, g b
2	white, m m
2	minnich, v
2	hober, r
2	henry, k m
2	fairley, n h
2	sington, h
2	lurie, m b
2	hamilton, c j
2	phemister, d b
2	burt, j b
2	bragg, w
