Date: 03/05/2015	 Scientist Search 1.7
Data Retrieval Mode: medline, reflects file type source of PubMed data in following analysis.
Publication Type Selection: journal article, Affiliation Restriction: none, reflects search constraints of PubMed data in following analysis.
Keyword Mode Selection: none

Year: 1898	Pubs: 1918	IDs: 1918	CSV Author Pubs: 0	Medline Author Pubs: 1204
		PM Max: 1	PM Num: 1	CSV Max: 0	CSV Num: 0	Medline Max: 4	Medline Num: 4
		CSV IDs: 0	Medline IDs: 1918

Publication PubMed Count:<1918>
CSV Publications with Authors:<0>
Medline Publications with Authors:<1204>
Retracted Publications:<0>
Retractions Made:<0>
CSV Unique authors:<0>
Medline Unique authors:<880>
Medline Unique short authors:<874>
Medline Unique short first authors:<803>
CSV Duplicate authors:<0>
Medline Duplicate authors:<199>
Medline Duplicate short authors:<200>
CSV Duplicate author publications:<0>
Medline Duplicate author publications:<618>
CSV Authors per publication:<0>
CSV APP max:<0>
CSV APP min:<0>
CSV APP var:<0>
Medline Authors per publication:<1.07890365448505>
Medline APP max:<8>
Medline APP min:<1>
Medline APP var:<0.157395475767373>
Unique Journal Titles:<14>
Unique Short Journal Titles:<14>
Medline Publications per unique author:	2.17954545454545
Medline Duplicate publications per duplicate author:	3.10552763819095
Medline Duplicate authors / Unique authors	0.226136363636364


*****JOURNAL PUB FREQUENCIES*****
718	british medical journal
664	science (new york, ny)
143	annals of surgery
68	journal of anatomy and physiology
52	public health papers and reports
52	public health reports
52	journal boston society of medical sciences
43	the journal of physiology
41	transactions of the american ophthalmological society
33	the journal of experimental medicine
19	transactions of the american climatological association for the year  american
15	medico-chirurgical transactions
9	journal massachusetts association of boards of health
9	medical libraries

*****KEYWORDS LIST*****

*****KEYWORDS FREQUENCIES*****
<>

*****CSV PUBMED AUTHOR FREQUENCIES*****

*****CSV PUBMED PUB FREQUENCIES*****
<>

*****MEDLINE PUBMED AUTHOR FREQUENCIES*****
50	brinton, d g
33	h, j l
17	ward, r d
14	bessey, c e
13	davis, w m
8	bumpus, h c
8	binnie, j f
7	gilpin, j e
6	l, f a
6	martin, s
5	morris, h
5	osborn, h f
5	minot, c s
5	wiley, h w
5	cockerell, t d
5	deschweinitz, g e
5	thurston, r h
4	parsons, f g
4	dall, w h
4	smith, h m
4	pilcher, l s
4	johnston, w
4	bolton, h c
4	f, w s
4	kenyon, f c
4	deaver, j b
4	oliver, t
4	cattell, j m
3	powell, r d
3	hopkins, f g
3	wilder, b g
3	baldwin, j m
3	marsh, o c
3	mallory, f b
3	harman, n b
3	coley, w b
3	smith, e f
3	whitman, c o
3	cunningham, r h
3	hale, g e
3	smith, t
3	kelly, h a
3	brush, c f
3	copeman, s m
3	marsh, h
3	morgan, j h
3	broom, r
3	whitman, f p
3	merriam, c h
3	stevens, w le c
3	liceaga, e
3	titchener, e b
3	stanley, h m
3	howe, l
3	packard, a s
3	taylor, a e
3	goodale, j l
3	birmingham, a
3	barker, a e
3	butlin, h t
3	semon, f
3	o, h f
3	councilman, w t
2	sheild, a m
2	dent, c t
2	hewitt, c n
2	lucas, f a
2	handford, h
2	horwitz, o
2	lees, d b
2	grunbaum, o f
2	gibson, c l
2	macalister
2	nelson, e w
2	haldane, j
2	dana, j c
2	manson, p
2	turner, w
2	cushing, h w
2	newcomb, s
2	winslow, r
2	f, e b
2	smith, theobald
2	gaskell, w h
2	smith, j b
2	warbasse, j p
2	mcgee, w j
2	jastrow, j
2	martin, c j
2	waring, h j
2	harrington, charles
2	worrell, j p
2	fletcher, w m
2	luff, a p
2	crookes, w
2	bangs, o
2	durham, h e
2	magrath, george burgess
2	washbourn, j w
2	paddock, w
2	true, a c
2	porter, w t
2	hewes, henry f
2	bolton, j s
2	caton, r
2	halsted, g b
2	freeman, l
2	heaton, g
2	wood, edward s
2	pavy, f w
2	upham, w
2	jones, h c
2	keyes, c r
2	paton, d n
2	cumston, c g
2	bramwell, b
2	robinson, a
2	ewing, a e
2	bailey, v
2	gill, t
2	powers, c a
2	bain, w
2	gray, t
2	davidson, j m
2	barus, c
2	m, w f
2	poore, g v
2	williams, f h
2	cotton, f j
2	oliver, j
2	welsh, d a
2	fraser, t r
2	davis, g g
2	muskens, l j j
2	c, j m
2	herrick, c l
2	scripture, e w
2	veeder, m a
2	phillips, s
2	gratacap, l p
2	hektoen, l
2	sattler, r
2	maccallum, w g
2	davenport, c b
2	paul, f t
2	parker, g h
2	hershey, o h
2	prescott, w h
2	miller, g s jr
2	holden, e s
2	hibbard, c m
2	langley, j n
2	webster, a g
2	hill, h w
2	lee, b
2	parker, r
2	james, w
2	dodge, r e
2	john, s b
2	homans, j
2	fenger, c
2	brunton, t l
2	lloyd, s
2	flexner, s
2	x
2	franklin, c l
2	symington, j
2	lindsley, c a
2	snyder, m b
2	williamson, r t
2	mcburney, c
2	kemp, j f
2	mason, o t
2	judd, c h
2	bowditch, h p
2	cousins, j w
2	tuckerman, a
2	mead, a d
2	bull, c s
2	rogers, l
2	cook, o f
2	jackson, e
2	rood, o n
2	montgomery, d w
2	g, j e
2	tubby, a h
2	green, j
2	barratt, w
2	morton, c a
2	pierce, a h
2	lothrop, h a
2	risley, s d
2	campbell, h
2	wright, j h
2	barnard, e e
2	noyes, h d
2	hutchison, r
2	bond, c j
2	west, s
1	kempson, f c
1	robinson, f c
1	baumgarten, w
1	lusk, w c
1	brena, j
1	shaffer, n m
1	keith, a
1	reynolds, w g
1	pringle, g l
1	mctaggart, d d
1	smyth, r m
1	boutwell, j m
1	dwight, t
1	harrington, n r
1	carter, a h
1	allin, a
1	wright, a e
1	heath, c
1	moullin, c m
1	corner, e
1	bolam, r a
1	smith, r
1	upton, w
1	wallace, a j
1	eurich, f w
1	bullitt, j b
1	schaper, alfred
1	wallis, f c
1	clapham, c
1	young, d
1	weeks, c c
1	abbe, r
1	taylor, e w
1	hagen, j h
1	brown, e w
1	valade, f x
1	powell, j w
1	hammond, e w
1	dorsey, n e
1	grinnell, g b
1	jefferson, m s
1	armstrong, h e
1	coulter, j m
1	townsend, c h
1	pick, t p
1	f, c l
1	catellani, s
1	shea, t b
1	hill, l
1	fisher, s
1	woodbridge, s h
1	briscoe, j f
1	turck, f b
1	harker, d
1	poteat, w l
1	ashe, e o
1	hunter, j
1	herter, c a
1	philip, r w
1	smith, j l
1	baldwin, e r
1	herrick, f h
1	cargill, j
1	morrissey, m j
1	wright, james h
1	bigelow, w d
1	withers, o
1	mcweeney, e j
1	lowson, d
1	baker, m
1	lovett, r w
1	halsted, w s
1	halstead, a e
1	hutton, f w
1	sollmann, t
1	knight, w c
1	jones, j v
1	ross, r
1	badger, george s c
1	jardine, r
1	saundby, r
1	barclay-smith, e
1	clinch, t a
1	moore, j w
1	quimby, c e
1	mendizabal, g
1	dowd, c n
1	freer, p c
1	broomall, c m
1	simpson, f o
1	thompson, c m
1	cushny, arthur r
1	m'dougall, w
1	wilmer, w h
1	mccurdy, s l
1	nason, e n
1	rosenheim, o
1	freyer, p j
1	ward, r de c
1	withers, j s
1	buchanan, w j
1	brewer, g e
1	stabler, e l
1	woodman, j e
1	daland, j
1	montizambert, f
1	wallace, george b
1	clutton, h h
1	callan, p a
1	parkes, l
1	bowes, p
1	carslaw, j
1	weiss, e
1	harte, r h
1	spalding, v m
1	zoethout, w
1	mackintosh, a w
1	prescott, a b
1	campbell, m r
1	osborn, h
1	craig, c f
1	wadsworth, o f
1	peirce, j m
1	squire, j e
1	connolly, r m
1	petty, w
1	mudge, g p
1	ward, h b
1	whitwell, j r
1	waller, a d
1	woods, a f
1	yearsley, m
1	simpson, f f
1	atkinson, g f
1	hayford, j f
1	thin, g
1	daniels, c w
1	wendel, a v
1	jones, r
1	moynihan, b g
1	adami, j g
1	cobb, frederic c
1	gibney, v p
1	lachapelle, e p
1	bannatyne, g a
1	sanderson, j b
1	bles, e j
1	tweedy, e h
1	lawson, a
1	paterson, a m
1	pickett, j
1	brook, w f
1	ingersoll, e
1	nixon, c j
1	hurd-wood, j
1	carden, w a
1	franklin, m m
1	beauchamp, w m
1	goodnough, x h
1	hopkins, w b
1	black, w g
1	murdoch, j
1	robins, g d
1	hope, w b
1	corner, e m
1	duckworth, w l
1	sichel, g
1	williams, h u
1	pierce, c s
1	pendred, v
1	orton, j
1	thomas, j l
1	stokes, w
1	gibson, j stewart
1	emmons, s f
1	annandale, t
1	campbell, j m
