Date: 03/08/2015	 Scientist Search 1.7
Data Retrieval Mode: medline, reflects file type source of PubMed data in following analysis.
Publication Type Selection: journal article, Affiliation Restriction: none, reflects search constraints of PubMed data in following analysis.
Keyword Mode Selection: none
Authors per Publication output type: summary

Year,Q0,Q1,Q2,Q2,Q2,Q3,Q4,Mean,Count,Sum,Variance
1907,1,1,1,1,1,1,5,1.11284840244731,1471,1637,0.136823361790446
1908,1,1,1,1,1,1,10,1.11253701875617,2026,2254,0.19858912128509
1909,1,1,1,1,1,1,5,1.10312764158918,2366,2610,0.117851587257921
1910,1,1,1,1,1,1,8,1.11293103448276,2320,2582,0.16052244351962
1911,1,1,1,1,1,1,5,1.11693861693862,2574,2875,0.153769027312151
1912,1,1,1,1,1,1,17,1.12076749435666,2658,2979,0.283759832321863
1913,1,1,1,1,1,1,8,1.10565780504431,2934,3244,0.129940722711746
1914,1,1,1,1,1,1,5,1.11751904243743,2757,3081,0.14795931456303
1915,1,1,1,1,1,1,7,1.15955401768551,2601,3016,0.250205721899468
1916,1,1,1,1,1,1,13,1.18082879866053,2389,2821,0.380025935110361
1917,1,1,1,1,1,1,15,1.19592544429996,2307,2759,0.408947420535942
1918,1,1,1,1,1,1,9,1.17393199651264,2294,2693,0.297995263030277
1919,1,1,1,1,1,1,9,1.16387559808612,2508,2919,0.258232507650161
1920,1,1,1,1,1,1,6,1.15003615328995,2766,3181,0.224416123060257
1921,1,1,1,1,1,1,16,1.18622904031395,2803,3325,0.345625558671466
1922,1,1,1,1,1,1,14,1.2004132231405,2904,3486,0.357906165334791
1923,1,1,1,1,1,1,8,1.18330134357006,3126,3699,0.226477392877273
1924,1,1,1,1,1,1,12,1.22626201923077,3328,4081,0.346341556345923
1925,1,1,1,1,1,1,12,1.2209096278795,3386,4134,0.33749545137216
1926,1,1,1,1,1,1,13,1.21974965229485,3595,4385,0.322224693932424
1927,1,1,1,1,1,1,5,1.22098490472655,4041,4934,0.268166414273494
1928,1,1,1,1,1,1,16,1.25573686894442,3922,4925,0.463155512608044
1929,1,1,1,1,1,1,16,1.2680412371134,3686,4674,0.446873374316864
1930,1,1,1,1,1,1,7,1.26721149083705,4038,5117,0.361733234617837
1931,1,1,1,1,1,1,11,1.28535606820461,3988,5126,0.367919958471201
1932,1,1,1,1,1,1,5,1.3044761436301,4066,5304,0.381470372401852
1933,1,1,1,1,1,1,13,1.31516825715721,3982,5237,0.447379165561955
1934,1,1,1,1,1,2,16,1.34526529576035,3939,5299,0.476374510730117
1935,1,1,1,1,1,2,10,1.34947675833536,4109,5545,0.421550590175328
1936,1,1,1,1,1,2,8,1.35449735449735,3969,5376,0.427367654880883
1937,1,1,1,1,1,2,11,1.39598016183764,3831,5348,0.501774496082563
1938,1,1,1,1,1,2,11,1.40830622967225,3997,5629,0.527306538197368
1939,1,1,1,1,1,2,18,1.42849962302086,3979,5684,0.718373496544216
1940,1,1,1,1,1,2,11,1.46475709070486,3561,5216,0.667179728975979
1941,1,1,1,1,1,2,18,1.49072164948454,3395,5061,0.76007591515722
1942,1,1,1,1,1,2,15,1.50985074626866,3350,5058,0.780052216529294
1943,1,1,1,1,1,2,15,1.51101055806938,3315,5009,0.94490139204539
1944,1,1,1,1,1,2,20,1.52808046940486,3579,5469,1.14778650819358
1945,1,1,1,1,1,2,24,1.42884300575593,18937,27058,0.595678615950579
1946,1,1,1,1,1,2,22,1.4055049088359,51336,72153,0.452189580660024
1947,1,1,1,1,1,2,21,1.40962031770311,62763,88472,0.443064723677499
1948,1,1,1,1,1,2,13,1.42560729479752,68871,98183,0.439438936198038
1949,1,1,1,1,1,2,14,1.46225707577931,61336,89689,0.464142186161946
1950,1,1,1,1,1,2,16,1.55191962419145,81318,126199,0.848081548324648
1951,1,1,1,1,1,2,15,1.56312295772622,97318,152120,0.868942391650957
1952,1,1,1,1,1,2,17,1.5839815875696,99498,157603,0.901392488836644
