Date: 03/07/2015	 Scientist Search 1.7
Data Retrieval Mode: medline, reflects file type source of PubMed data in following analysis.
Publication Type Selection: journal article, Affiliation Restriction: USA, reflects search constraints of PubMed data in following analysis.
Keyword Mode Selection: none

Year: 1976	Pubs: 303	IDs: 303	CSV Author Pubs: 0	Medline Author Pubs: 303
		PM Max: 1	PM Num: 1	CSV Max: 0	CSV Num: 0	Medline Max: 1	Medline Num: 1
		CSV IDs: 0	Medline IDs: 303

Publication PubMed Count:<303>
CSV Publications with Authors:<0>
Medline Publications with Authors:<303>
Retracted Publications:<0>
Retractions Made:<0>
CSV Unique authors:<0>
Medline Unique authors:<680>
Medline Unique short authors:<680>
Medline Unique short first authors:<290>
CSV Duplicate authors:<0>
Medline Duplicate authors:<45>
Medline Duplicate short authors:<45>
CSV Duplicate author publications:<0>
Medline Duplicate author publications:<98>
CSV Authors per publication:<0>
CSV APP max:<0>
CSV APP min:<0>
CSV APP var:<0>
Medline Authors per publication:<2.41914191419142>
Medline APP max:<9>
Medline APP min:<1>
Medline APP var:<1.63620124388677>
Unique Journal Titles:<35>
Unique Short Journal Titles:<35>
Medline Publications per unique author:	0.445588235294118
Medline Duplicate publications per duplicate author:	2.17777777777778
Medline Duplicate authors / Unique authors	0.0661764705882353


*****JOURNAL PUB FREQUENCIES*****
42	planta
39	journal of wildlife diseases
29	biochemical and biophysical research communications
25	physiology & behavior
22	journal of personality assessment
17	journal of neurochemistry
16	journal of nematology
16	tag theoretical and applied genetics theoretische und angewandte genetik
12	american journal of clinical pathology
11	life sciences and space research
10	neuroscience
10	developmental biology
8	neuroscience letters
7	undersea biomedical research
4	mutation research
4	journal of religion and health
3	virology
3	talanta
3	febs letters
2	cytogenetics and cell genetics
2	applied ergonomics
2	journal of the american chemical society
2	avian pathology : journal of the wvpa
2	aesthetic plastic surgery
2	acta medica scandinavica supplementum
1	the journal of dermatology
1	journal of bioenergetics and biomembranes
1	advances in experimental medicine and biology
1	tissue & cell
1	inflammation
1	archives of environmental health
1	microbial ecology
1	neuroendocrinology
1	south african medical journal = suid-afrikaanse tydskrif vir geneeskunde
1	nigerian medical journal : journal of the nigeria medical association

*****KEYWORDS LIST*****

*****KEYWORDS FREQUENCIES*****
<>

*****CSV PUBMED AUTHOR FREQUENCIES*****

*****CSV PUBMED PUB FREQUENCIES*****
<>

*****MEDLINE PUBMED AUTHOR FREQUENCIES*****
3	parks, j m
3	ames, a 3rd
3	levine, s
3	prezelin, b b
3	smotherman, w p
3	ferris, h
3	jaffe, l f
3	jorgenson, r d
2	lovinger, r
2	shackelford, r
2	peloquin, s j
2	steele, a e
2	salmon, j
2	kocan, r m
2	walker, c r
2	brodie, b b
2	kestenbaum, j m
2	gates, n l
2	lewis, d h
2	ganong, w f
2	hoff, g l
2	volcani, b e
2	bigler, w j
2	siegel, s m
2	de la torre, j c
2	mugnaini, e
2	nettles, v f
2	boryczka, a t
2	wiener, s g
2	botzler, r g
2	wilson, b w
2	goering, e k
2	reid, i a
2	kendall, p c
2	harris, d l
2	ascher, p d
2	kallen, r g
2	abrams, w r
2	gough, p m
2	nordskog, a w
2	arboleda, c r
2	haxo, f t
2	nesbett, f b
2	kelly, p t
2	schnapp, b
1	randall, c c
1	dusenbery, d b
1	harvey, s c
1	thompson, n s
1	wetzler, f t
1	spencer, j w
1	chu, y e
1	hunter, l
1	adcock, e w 3rd
1	o'melia, f c
1	bernstein, b e
1	farrington, d o
1	dostal, h c
1	asdourian, d
1	hatcher, n h
1	redmore, c
1	henderson, a s
1	fleming, a s
1	foreyt, w j
1	theologides, a
1	boelkins, j n
1	miller, p m
1	syftestad, g t
1	ginsberg, b h
1	hoooke, j f
1	kaufman, l w
1	anderson, r e
1	stuckey, h m
1	rich, j r
1	shave, h j
1	yuill, t m
1	ballou, c e
1	gay, p e
1	lewis, h s
1	schwartz, e
1	prato, c m
1	byrd, d w
1	smith, a w
1	smith, l s
1	macha, a m
1	potel, m j
1	hepler, p k
1	brightman, m w
1	surgeon, j w
1	woolf, a
1	kodama, a m
1	newsom, b d
1	drury, c g
1	mckinnon, j g
1	chaiken, i m
1	handschumacher, r e
1	baker, m
1	wempe, m
1	maitra, s k
1	weisenseel, m h
1	whedon, g d
1	fuller, g c
1	moyers, e m
1	rubenstein, a h
1	shumway, l k
1	adelson, g l
1	taub, j m
1	gorell, j m
1	schwartz, i r
1	trams, e g
1	wright, j w
1	matthews, t
1	hause, l l
1	monahan, t m
1	cotman, c w
1	bauer, r h
1	coyle, j t
1	deutscher, m p
1	butler, j d
1	scanlon, p f
1	young, s s
1	romero, c
