Date: 03/07/2015	 Scientist Search 1.7
Data Retrieval Mode: medline, reflects file type source of PubMed data in following analysis.
Publication Type Selection: journal article, Affiliation Restriction: USA, reflects search constraints of PubMed data in following analysis.
Keyword Mode Selection: none

Year: 1982	Pubs: 777	IDs: 777	CSV Author Pubs: 0	Medline Author Pubs: 777
		PM Max: 1	PM Num: 1	CSV Max: 0	CSV Num: 0	Medline Max: 2	Medline Num: 2
		CSV IDs: 0	Medline IDs: 777

Publication PubMed Count:<777>
CSV Publications with Authors:<0>
Medline Publications with Authors:<777>
Retracted Publications:<0>
Retractions Made:<0>
CSV Unique authors:<0>
Medline Unique authors:<1882>
Medline Unique short authors:<1882>
Medline Unique short first authors:<736>
CSV Duplicate authors:<0>
Medline Duplicate authors:<161>
Medline Duplicate short authors:<161>
CSV Duplicate author publications:<0>
Medline Duplicate author publications:<373>
CSV Authors per publication:<0>
CSV APP max:<0>
CSV APP min:<0>
CSV APP var:<0>
Medline Authors per publication:<2.69498069498069>
Medline APP max:<92>
Medline APP min:<1>
Medline APP var:<12.0935784101803>
Unique Journal Titles:<48>
Unique Short Journal Titles:<48>
Medline Publications per unique author:	0.412858660998937
Medline Duplicate publications per duplicate author:	2.3167701863354
Medline Duplicate authors / Unique authors	0.0855472901168969


*****JOURNAL PUB FREQUENCIES*****
196	applied optics
60	theriogenology
41	texas heart institute journal / from the texas heart institute of st luke's
41	journal of personality assessment
40	planta
39	tag theoretical and applied genetics theoretische und angewandte genetik
36	biotechnology and bioengineering
33	virology
28	otolaryngology--head and neck surgery : official journal of american academy of
25	molecular and cellular biology
17	microbial ecology
17	environmental monitoring and assessment
15	journal of motor behavior
15	current genetics
13	meat science
13	the behavior analyst / maba
13	applied ergonomics
11	journal of youth and adolescence
11	immunology today
9	plant cell reports
9	photosynthesis research
8	sexually transmitted diseases
8	medical teacher
7	somatic cell genetics
7	avian pathology : journal of the wvpa
7	pediatric pharmacology (new york, ny)
7	the journal of automatic chemistry
6	headache
5	talanta
4	applied biochemistry and biotechnology
4	new zealand veterinary journal
4	journal of religion and health
4	brain, behavior and evolution
4	planta medica
3	the journal of primary prevention
3	biological trace element research
2	population studies
2	biophysical chemistry
1	clinical nutrition (edinburgh, scotland)
1	science (new york, ny)
1	neurochemistry international
1	plant molecular biology
1	journal of chemical ecology
1	international journal of cosmetic science
1	acta astronautica
1	women's rights law reporter
1	vital and health statistics series 13, data from the national health survey
1	journal of family law / university of louisville school of law

*****KEYWORDS LIST*****

*****KEYWORDS FREQUENCIES*****
<>

*****CSV PUBMED AUTHOR FREQUENCIES*****

*****CSV PUBMED PUB FREQUENCIES*****
<>

*****MEDLINE PUBMED AUTHOR FREQUENCIES*****
8	smith, g c
7	cooley, d a
5	hall, r j
5	carpenter, z l
5	savell, j w
4	ginther, o j
4	moore, d t
4	hays, p b
4	murphey, c e
4	casasent, d
4	douglas, r h
3	ascher, p d
3	milam, d
3	meister, d
3	rossmann, m g
3	garcia, e
3	hall, t c
3	kattesh, h g
3	rainer, f
3	hauser, e r
3	collins, g b
3	torr, m r
3	kesler, d j
3	frazier, o h
3	mertz, j e
3	duncan, j m
3	depuey, e g
3	lowdermilk, w h
3	scholl, m s
3	shepherd, r j
2	kornegay, e t
2	klibanov, a m
2	higgins, s t
2	smith, j a
2	pankey, j w
2	gwazdauskas, f c
2	kiracofe, g h
2	echternkamp, s e
2	doyle, w j
2	singh, r j
2	burand, j p
2	mueller, s c
2	johnson, d d
2	tsao, g t
2	nofziger, m j
2	livesay, j j
2	kimes, d s
2	rohrmann, g f
2	evert, r f
2	ray, p m
2	williams, g l
2	allard, r w
2	cantekin, e i
2	chang, h t
2	weatherspoon, l
2	abdel-meguid, s s
2	mckeith, f k
2	poole, l r
2	atkinson, l g
2	mcnamara, d g
2	summers, m d
2	mueller, e p
2	hart, t t
2	hubbs, j e
2	stagaman, j m
2	shaw, d v
2	ryan, d p
2	myers, e n
2	janeway, c a jr
2	edwards, g e
2	brown, r m jr
2	eichhorn, w l
2	hoke, m l
2	johnson, j t
2	abramson, a l
2	kahan, b d
2	brown, j s
2	elmore, r g
2	caulfield, h j
2	quail, p h
2	davis, d l
2	chow, k c
2	gillette, p c
2	liu, h k
2	rampacek, g b
2	jones, e d
2	gong, c s
2	roth, e j
2	morizono, t
2	knight, j a
2	joseph, s w
2	beaudreau, g s
2	ollis, d f
2	shaw, j h
2	wright, r w jr
2	leachman, r d
2	hughes, m a
2	caudill, l o
2	schiffman, h
2	ott, r s
2	tsuchiya, t
2	wolfe, w l
2	speir, a m
2	menyuk, n
2	mickelsen, w d
2	burdine, j a
