Date: 03/07/2015	 Scientist Search 1.7
Data Retrieval Mode: medline, reflects file type source of PubMed data in following analysis.
Publication Type Selection: journal article, Affiliation Restriction: USA, reflects search constraints of PubMed data in following analysis.
Keyword Mode Selection: none

Year: 1972	Pubs: 198	IDs: 198	CSV Author Pubs: 0	Medline Author Pubs: 198
		PM Max: 1	PM Num: 1	CSV Max: 0	CSV Num: 0	Medline Max: 1	Medline Num: 1
		CSV IDs: 0	Medline IDs: 198

Publication PubMed Count:<198>
CSV Publications with Authors:<0>
Medline Publications with Authors:<198>
Retracted Publications:<0>
Retractions Made:<0>
CSV Unique authors:<0>
Medline Unique authors:<441>
Medline Unique short authors:<441>
Medline Unique short first authors:<192>
CSV Duplicate authors:<0>
Medline Duplicate authors:<32>
Medline Duplicate short authors:<32>
CSV Duplicate author publications:<0>
Medline Duplicate author publications:<67>
CSV Authors per publication:<0>
CSV APP max:<0>
CSV APP min:<0>
CSV APP var:<0>
Medline Authors per publication:<2.4040404040404>
Medline APP max:<11>
Medline APP min:<1>
Medline APP var:<1.67513519028671>
Unique Journal Titles:<16>
Unique Short Journal Titles:<16>
Medline Publications per unique author:	0.448979591836735
Medline Duplicate publications per duplicate author:	2.09375
Medline Duplicate authors / Unique authors	0.072562358276644


*****JOURNAL PUB FREQUENCIES*****
78	febs letters
36	planta
27	nature
12	cancer chemotherapy reports part 1
10	tag theoretical and applied genetics theoretische und angewandte genetik
9	life sciences and space research
8	journal of molecular evolution
4	nature: new biology
3	journal of religion and health
3	virology
2	tissue & cell
2	journal of youth and adolescence
1	applied ergonomics
1	avian pathology : journal of the wvpa
1	endocrinology
1	behring institute mitteilungen

*****KEYWORDS LIST*****

*****KEYWORDS FREQUENCIES*****
<>

*****CSV PUBMED AUTHOR FREQUENCIES*****

*****CSV PUBMED PUB FREQUENCIES*****
<>

*****MEDLINE PUBMED AUTHOR FREQUENCIES*****
3	wilson, d f
3	kimura, t
3	govindjee
2	cleland, r
2	ohnishi, t
2	reich, e
2	gaffron, h
2	hochberg, a a
2	nakamura, s
2	erecinska, m
2	holmquist, r
2	titani, k
2	stambaugh, j e
2	weiss, a j
2	neurath, h
2	lardy, h a
2	hahn, r g
2	stuart, t s
2	colman, p m
2	stratman, f w
2	chu, j -w
2	bonnett, h t
2	eisenstadt, j m
2	laucius, j f
2	zahlten, r n
2	frangione, b
2	jansonius, j n
2	ahmann, d l
2	matthews, b w
2	franklin, e c
2	walsh, k a
2	chance, b
1	scarpa, a
1	folsom, s e
1	junge, w
1	cha, s
1	capaldi, r a
1	blumenfeld, a
1	murphy, j b
1	juliano, r
1	ortega, j a
1	davis, l a
1	aleem, m i
1	steele, william j
1	boyer, j s
1	khoury, g
1	sherman, l a
1	bryan, s e
1	kaji, akira
1	martin, c j
1	morrell, f
1	morre, d james
1	grahn, d
1	thornber, j p
1	heuch, i
1	fry, r j
1	chambers, r w
1	chabner, b a
1	horrocks, l a
1	gang, m
1	su, k l
1	maynard, j e
1	kyner, d
1	santer, u v
1	king, t e
1	carr, d t
1	perrault, j
1	rieske, j s
1	venditti, j m
1	sie, hsien gieh
1	campbell, r d
1	nadeau, r
1	hultin, h o
1	sehgal, o p
1	anderson, w f
1	dalling, m j
1	travis, d m
1	mayhew, e
1	oro', j
1	chrispeels, m j
1	nassar, r f
1	crawford, j f
1	kelleher, w j
1	beaudreau, g s
1	shore, m f
1	west, s h
1	apirion, d
1	holland, l m
1	linskens, h f
1	plager, j
1	soong, m m
1	shafritz, d a
1	setty, s
1	briantais, j -m
1	thomson, w w
1	hayes, e f
1	nesius, k k
1	walker, j e
1	prine, j r
1	spalding, j f
1	shetty, t
1	white, h b 3rd
1	nordlie, robert c
1	sirica, a
1	harsch, m
1	kavanagh, m
1	harding, j
1	sabharwal, p s
1	chavin, w
1	waaland, s d
1	sogin, m l
1	ashley, t
1	young, r c
1	goldin, a
1	jacobson, k b
1	kucan, z
1	crandall, d c
1	deeney, a o
1	geratz, j d
1	scallen, t j
1	kung, s d
1	tepfer, d a
1	wolk, c p
1	fitch, w m
1	bergman, k
1	lightner, d a
1	pederson, d g
1	wodinsky, i
1	preston, j f
1	uchytil, l e
1	scheibe, j
1	berquist, k r
1	eichhorn, s e
1	howe, s m
1	gedo, j e
1	allen, t h
1	wilson, c b
1	otani, s
1	lueck, james d
1	brdar, b
1	dowben, r m
1	finklestein, j z
1	varner, j e
1	fowler, w a
1	bagley, c m jr
1	wildman, s g
1	hodge, j r
1	silen, r r
1	siddiqui, m aq
1	sheppard, r m
1	schoenborn, b p
1	forte, john g
1	devita, v t jr
1	gruber, p j
