Date: 03/07/2015	 Scientist Search 1.7
Data Retrieval Mode: medline, reflects file type source of PubMed data in following analysis.
Publication Type Selection: journal article, Affiliation Restriction: USA, reflects search constraints of PubMed data in following analysis.
Keyword Mode Selection: none

Year: 1993	Pubs: 2633	IDs: 2633	CSV Author Pubs: 0	Medline Author Pubs: 2631
		PM Max: 1	PM Num: 1	CSV Max: 0	CSV Num: 0	Medline Max: 6	Medline Num: 6
		CSV IDs: 0	Medline IDs: 2633

Publication PubMed Count:<2633>
CSV Publications with Authors:<0>
Medline Publications with Authors:<2631>
Retracted Publications:<1>
Retractions Made:<0>
CSV Unique authors:<0>
Medline Unique authors:<6380>
Medline Unique short authors:<6381>
Medline Unique short first authors:<2470>
CSV Duplicate authors:<0>
Medline Duplicate authors:<534>
Medline Duplicate short authors:<536>
CSV Duplicate author publications:<0>
Medline Duplicate author publications:<1252>
CSV Authors per publication:<0>
CSV APP max:<0>
CSV APP min:<0>
CSV APP var:<0>
Medline Authors per publication:<2.69783352337514>
Medline APP max:<22>
Medline APP min:<1>
Medline APP var:<3.06605003842009>
Unique Journal Titles:<319>
Unique Short Journal Titles:<319>
Medline Publications per unique author:	0.41269592476489
Medline Duplicate publications per duplicate author:	2.34456928838951
Medline Duplicate authors / Unique authors	0.0836990595611285


*****JOURNAL PUB FREQUENCIES*****
133	biotechnology and bioengineering
105	current biology : cb
95	tag theoretical and applied genetics theoretische und angewandte genetik
74	proceedings of the national academy of sciences of the united states of america
73	theriogenology
71	journal of the american society for mass spectrometry
50	trends in ecology & evolution
45	environmental monitoring and assessment
42	plant cell reports
41	parasitology today (personal ed)
41	adolescent medicine (philadelphia, pa)
40	photosynthesis research
39	proceedings /  international conference on intelligent systems for molecular
38	trends in cell biology
37	obesity research
35	environmental pollution (barking, essex : 1987)
33	archives of clinical neuropsychology : the official journal of the national
33	academic psychiatry : the journal of the american association of directors of
33	harvard review of psychiatry
32	alcohol and alcoholism (oxford, oxfordshire) supplement
31	prehospital and disaster medicine
31	current opinion in general surgery
30	trends in cardiovascular medicine
30	journal of personality assessment
29	infectious diseases in obstetrics and gynecology
29	acta crystallographica section d, biological crystallography
29	behavioural pharmacology
28	obesity surgery
28	convulsive therapy
27	meat science
27	seminars in radiation oncology
26	tree physiology
26	periodontology 2000
26	general dentistry
25	magnetic resonance imaging clinics of north america
24	trends in endocrinology and metabolism: tem
18	talanta
17	ultrasound in obstetrics & gynecology : the official journal of the international
17	insect molecular biology
17	geochimica et cosmochimica acta
16	dental assistant (chicago, ill : 1994)
15	immunohematology / american red cross
15	restorative neurology and neuroscience
14	mediators of inflammation
14	the journal of the american association of gynecologic laparoscopists
14	compendium (newtown, pa)
14	amino acids
14	pathology (philadelphia, pa)
14	advances in health economics and health services research
14	wound repair and regeneration : official publication of the wound healing society
13	journal of aging & social policy
13	avian pathology : journal of the wvpa
12	international journal of antimicrobial agents
12	international journal of gynecological cancer : official journal of the
12	journal of exposure analysis and environmental epidemiology
12	antimicrobial agents and chemotherapy
12	journal of motor behavior
12	applied ergonomics
12	transactions of the kansas academy of science kansas academy of science
12	annals of the new york academy of sciences
11	the journal of social issues
11	biophysical journal
11	the journal of steroid biochemistry and molecular biology
11	microbial ecology
11	asian american and pacific islander journal of health
11	dentistry (american student dental association)
11	college review (denver, colo)
11	the physiologist
11	toxicology in vitro : an international journal published in association with
10	british journal of clinical pharmacology
9	behavioural processes
9	biotechnology advances
9	world journal of microbiology & biotechnology
9	clinical biomechanics (bristol, avon)
9	planta
8	the journal of automatic chemistry
8	focus on ohio dentistry
8	behavioral sciences & the law
8	memory (hove, england)
8	bulletin (hospital for joint diseases (new york, ny))
8	journal of neuroendocrinology
8	journal of cross-cultural gerontology
8	air & waste : journal of the air & waste management association
8	ecotoxicology (london, england)
8	journal of the history of the neurosciences
8	clinical and diagnostic virology
7	disasters
7	platelets
7	journal of dental hygiene : jdh / american dental hygienists' association
7	international journal of obstetric anesthesia
7	journal of psychopharmacology (oxford, england)
7	fish physiology and biochemistry
7	the astrophysical journal
7	archives of otolaryngology--head & neck surgery
7	clinical nutrition (edinburgh, scotland)
6	pediatric neurology
6	journal of religion and health
6	quintessence international (berlin, germany : 1985)
6	studies in health technology and informatics
6	tissue & cell
6	special care in dentistry : official publication of the american association of
6	neuroimage
6	dental materials : official publication of the academy of dental materials
6	the naham management journal
6	journal of insurance medicine (new york, ny)
6	journal of electromyography and kinesiology : official journal of the
6	experimental eye research
5	behavioural neurology
5	journal of inherited metabolic disease
5	journal of sleep research
5	annual review of psychology
5	science (new york, ny)
5	reproduction, fertility, and development
5	mississippi dental association journal
