Date: 03/07/2015	 Scientist Search 1.7
Data Retrieval Mode: medline, reflects file type source of PubMed data in following analysis.
Publication Type Selection: journal article, Affiliation Restriction: USA, reflects search constraints of PubMed data in following analysis.
Keyword Mode Selection: none

Year: 1987	Pubs: 1193	IDs: 1193	CSV Author Pubs: 0	Medline Author Pubs: 1193
		PM Max: 1	PM Num: 1	CSV Max: 0	CSV Num: 0	Medline Max: 3	Medline Num: 3
		CSV IDs: 0	Medline IDs: 1193

Publication PubMed Count:<1193>
CSV Publications with Authors:<0>
Medline Publications with Authors:<1193>
Retracted Publications:<0>
Retractions Made:<0>
CSV Unique authors:<0>
Medline Unique authors:<2848>
Medline Unique short authors:<2848>
Medline Unique short first authors:<1102>
CSV Duplicate authors:<0>
Medline Duplicate authors:<336>
Medline Duplicate short authors:<336>
CSV Duplicate author publications:<0>
Medline Duplicate author publications:<799>
CSV Authors per publication:<0>
CSV APP max:<0>
CSV APP min:<0>
CSV APP var:<0>
Medline Authors per publication:<2.77535624476111>
Medline APP max:<14>
Medline APP min:<1>
Medline APP var:<2.53126192254483>
Unique Journal Titles:<162>
Unique Short Journal Titles:<162>
Medline Publications per unique author:	0.418890449438202
Medline Duplicate publications per duplicate author:	2.37797619047619
Medline Duplicate authors / Unique authors	0.117977528089888


*****JOURNAL PUB FREQUENCIES*****
75	theriogenology
52	tag theoretical and applied genetics theoretische und angewandte genetik
51	planta
50	texas heart institute journal / from the texas heart institute of st luke's
49	immunology today
48	plant molecular biology
46	biotechnology and bioengineering
40	plant cell reports
35	trends in ecology & evolution
32	environmental pollution (barking, essex : 1987)
28	archives of clinical neuropsychology : the official journal of the national
25	convulsive therapy
24	journal of cardiothoracic anesthesia
23	meat science
23	parasitology today (personal ed)
22	investigative ophthalmology & visual science
20	environmental monitoring and assessment
20	plant physiology
20	photosynthesis research
19	optics letters
19	journal of pharmaceutical and biomedical analysis
17	immunohematology / american red cross
17	journal of pharmaceutical sciences
15	microbial ecology
13	virology
12	the embo journal
12	journal of aging studies
12	journal of personality assessment
11	molecular & general genetics : mgg
11	toxicology in vitro : an international journal published in association with
10	tree physiology
10	behavioural processes
9	the journal of automatic chemistry
9	applied ergonomics
9	avian pathology : journal of the wvpa
9	journal of motor behavior
8	clinical biomechanics (bristol, avon)
8	advances in space research : the official journal of the committee on space
8	vital and health statistics series 2, data evaluation and methods research
8	acta oto-laryngologica
8	journal of geophysical research
7	cancer
7	journal of dental research
7	nature
7	journal of religion and health
7	the astrophysical journal
7	tissue & cell
7	the linacre quarterly
6	journal of youth and adolescence
6	talanta
6	geochimica et cosmochimica acta
6	computers in cardiology
6	hortscience : a publication of the american society for horticultural science
6	neurologic clinics
5	the planetary report
5	the penn dental journal
5	canadian journal of anaesthesia = journal canadien d'anesthesie
5	acta astronautica
5	american journal of botany
4	science (new york, ny)
4	astronomy and astrophysics
4	fish physiology and biochemistry
4	journal of the royal society of medicine
4	oral microbiology and immunology
4	biotechnology advances
3	icarus
3	biophysical chemistry
3	systematic and applied microbiology
3	environmental geochemistry and health
3	journal of molecular evolution
3	biological trace element research
2	antimicrobial agents and chemotherapy
2	scandinavian journal of rheumatology
2	food biotechnology
2	topics in current chemistry
2	plant science : an international journal of experimental plant biology
2	precambrian research
2	systematic zoology
2	developmental biology
2	international journal of quantum chemistry quantum biology symposium :
2	annals of botany
2	physiologia plantarum
2	marine chemistry
2	annals of the new york academy of sciences
1	palaeontology
1	symbiosis (philadelphia, pa)
1	journal of electron microscopy technique
1	journal of phycology
1	radiation research
1	nuclear instruments & methods in physics research section a, accelerators,
1	journal of public health dentistry
1	the journal of physical chemistry
1	the american review of respiratory disease
1	british heart journal
1	biophysical journal
1	phytochemistry
1	journal of periodontology
1	akron law review
1	complicated cardiac patient
1	earth, moon, and planets
1	american journal of cardiac imaging
1	organic geochemistry
1	women's rights law reporter
1	journal of chemical ecology
1	nuclear instruments & methods in physics research section b, beam interactions
1	journal of applied cardiology
1	geophysical research letters
1	the journal of chemical physics
1	aerospace america
1	saint louis university public law review
1	advances in myochemistry
1	anthroquest : the lsb leakey foundation news
1	journal of spacecraft and rockets
1	journal of molecular structure
1	analytical chemistry
1	trends in neurosciences
1	analytica chimica acta
1	laboratory medicine
1	planta medica
1	archives of microbiology
1	atmospheric environment
1	neuro-ophthalmology (aeolus press)
1	duquesne law review
1	the journal of prosthetic dentistry
1	evolution; international journal of organic evolution
1	journal of the chemical society perkin transactions 1
1	dickinson law review
1	journal of microbiological methods
1	critical reviews in plant sciences
1	whole earth review
1	american potato journal
1	journal of thermal biology
1	social behaviour
